frame_id,frame_name,nm_per_pixel,area_nm2
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,8078.033307
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,8020.301348
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,7963.203807
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,7948.929421
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,7766.501335
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,7769.553605
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,7868.615385
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,7361.770317
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,7303.777184
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,7708.168121
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,7724.028549
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,0.317209
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,7745.915940
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,7738.937351
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,7531.171309
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,7361.159863
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,7296.756963
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,7310.186952
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,7045.701690
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,7063.041881
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,7086.554004
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,7368.180084
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,7377.031667
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,7343.151469
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,7351.392598
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,7346.508966
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,7372.758489
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,7365.127814
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,7391.682564
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,7373.368943
29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,7364.212133
30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,7365.738268
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,1.526135
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,7354.139641
32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,7388.935521
33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,7409.080504
34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,7237.031594
35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,7257.016899
36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,7277.590007
37,11dd74426e8374ac110c4036c77c09ab_000000000037,0.383342,7265.833946
38,11dd74426e8374ac110c4036c77c09ab_000000000038,0.383342,7267.009552
39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.383342,7337.545922
40,11dd74426e8374ac110c4036c77c09ab_000000000040,0.383342,7375.165320
41,11dd74426e8374ac110c4036c77c09ab_000000000041,0.390658,7698.435712
42,11dd74426e8374ac110c4036c77c09ab_000000000042,0.390658,7693.552079
43,11dd74426e8374ac110c4036c77c09ab_000000000043,0.390658,8400.152614
44,11dd74426e8374ac110c4036c77c09ab_000000000044,0.390658,8329.034720
45,11dd74426e8374ac110c4036c77c09ab_000000000045,0.390658,8306.753148
46,11dd74426e8374ac110c4036c77c09ab_000000000046,0.390658,8331.171309
47,11dd74426e8374ac110c4036c77c09ab_000000000047,0.390658,8296.070202
48,11dd74426e8374ac110c4036c77c09ab_000000000048,0.390658,8262.190004
49,11dd74426e8374ac110c4036c77c09ab_000000000049,0.383342,7955.914769
50,11dd74426e8374ac110c4036c77c09ab_000000000050,0.392232,8308.307692
51,11dd74426e8374ac110c4036c77c09ab_000000000051,0.392232,8291.384615
52,11dd74426e8374ac110c4036c77c09ab_000000000052,0.390658,8203.586417
53,11dd74426e8374ac110c4036c77c09ab_000000000059,0.390658,8624.494468
54,11dd74426e8374ac110c4036c77c09ab_000000000060,0.390658,8532.621137
55,11dd74426e8374ac110c4036c77c09ab_000000000061,0.390658,8536.283861
56,11dd74426e8374ac110c4036c77c09ab_000000000062,0.390658,8739.259824
57,11dd74426e8374ac110c4036c77c09ab_000000000063,0.390658,8786.264784
58,11dd74426e8374ac110c4036c77c09ab_000000000064,0.390658,8791.453644
59,11dd74426e8374ac110c4036c77c09ab_000000000065,0.390658,8797.558184
60,11dd74426e8374ac110c4036c77c09ab_000000000066,0.390658,8680.045784
61,11dd74426e8374ac110c4036c77c09ab_000000000067,0.390658,8781.533766
62,11dd74426e8374ac110c4036c77c09ab_000000000068,0.390658,8796.642503
63,11dd74426e8374ac110c4036c77c09ab_000000000069,0.390658,8814.498283
64,11dd74426e8374ac110c4036c77c09ab_000000000070,0.390658,8818.618848
65,11dd74426e8374ac110c4036c77c09ab_000000000071,0.390658,8897.367417
66,11dd74426e8374ac110c4036c77c09ab_000000000072,0.390658,8894.009920
67,11dd74426e8374ac110c4036c77c09ab_000000000073,0.383342,8595.738428
68,11dd74426e8374ac110c4036c77c09ab_000000000074,0.383342,8586.333578
69,11dd74426e8374ac110c4036c77c09ab_000000000075,0.383342,8604.702425
70,11dd74426e8374ac110c4036c77c09ab_000000000076,0.390658,8916.596719
71,11dd74426e8374ac110c4036c77c09ab_000000000077,0.390658,8918.733308
72,11dd74426e8374ac110c4036c77c09ab_000000000078,0.390658,8933.078977
73,11dd74426e8374ac110c4036c77c09ab_000000000079,0.390658,8908.660816
74,11dd74426e8374ac110c4036c77c09ab_000000000080,0.383342,8606.318883
75,11dd74426e8374ac110c4036c77c09ab_000000000081,0.383342,8625.716385
76,11dd74426e8374ac110c4036c77c09ab_000000000082,0.383342,8635.121234
77,11dd74426e8374ac110c4036c77c09ab_000000000083,0.383342,8605.437179
78,11dd74426e8374ac110c4036c77c09ab_000000000084,0.383342,8608.963997
79,11dd74426e8374ac110c4036c77c09ab_000000000085,0.383342,8559.294636
80,11dd74426e8374ac110c4036c77c09ab_000000000086,0.383342,8582.512858
81,11dd74426e8374ac110c4036c77c09ab_000000000087,0.383342,8536.664217
82,11dd74426e8374ac110c4036c77c09ab_000000000088,0.383342,8557.237325
83,11dd74426e8374ac110c4036c77c09ab_000000000089,0.383342,8526.965467
84,11dd74426e8374ac110c4036c77c09ab_000000000090,0.383342,8473.769287
85,11dd74426e8374ac110c4036c77c09ab_000000000091,0.383342,8453.196179
86,11dd74426e8374ac110c4036c77c09ab_000000000092,0.376288,8236.176991
87,11dd74426e8374ac110c4036c77c09ab_000000000093,0.376288,8226.265487
88,11dd74426e8374ac110c4036c77c09ab_000000000094,0.383342,8552.534901
89,11dd74426e8374ac110c4036c77c09ab_000000000095,0.383342,8588.684791
90,11dd74426e8374ac110c4036c77c09ab_000000000096,0.383342,8634.533431
91,11dd74426e8374ac110c4036c77c09ab_000000000097,0.383342,8628.361499
92,11dd74426e8374ac110c4036c77c09ab_000000000098,0.383342,8621.013960
93,11dd74426e8374ac110c4036c77c09ab_000000000099,0.383342,8674.797943
94,11dd74426e8374ac110c4036c77c09ab_000000000100,0.383342,8707.714916
95,11dd74426e8374ac110c4036c77c09ab_000000000101,0.376288,8536.637168
96,11dd74426e8374ac110c4036c77c09ab_000000000102,0.376288,8565.238938
97,11dd74426e8374ac110c4036c77c09ab_000000000103,0.390658,9223.349866
98,11dd74426e8374ac110c4036c77c09ab_000000000104,0.390658,9209.614651
99,11dd74426e8374ac110c4036c77c09ab_000000000105,0.383342,8878.471712
100,11dd74426e8374ac110c4036c77c09ab_000000000106,0.390658,9215.719191
101,11dd74426e8374ac110c4036c77c09ab_000000000107,0.390658,9255.703930
102,11dd74426e8374ac110c4036c77c09ab_000000000108,0.390658,9338.420450
103,11dd74426e8374ac110c4036c77c09ab_000000000109,0.390658,9363.143838
104,11dd74426e8374ac110c4036c77c09ab_000000000110,0.383342,9070.095518
105,11dd74426e8374ac110c4036c77c09ab_000000000111,0.390658,9441.892407
106,11dd74426e8374ac110c4036c77c09ab_000000000112,0.390658,9467.531477
107,11dd74426e8374ac110c4036c77c09ab_000000000113,0.383342,9133.578251
108,11dd74426e8374ac110c4036c77c09ab_000000000114,0.383342,9179.720794
109,11dd74426e8374ac110c4036c77c09ab_000000000115,0.376288,8826.619469
110,11dd74426e8374ac110c4036c77c09ab_000000000116,0.376288,8823.504425
111,11dd74426e8374ac110c4036c77c09ab_000000000117,0.383342,9235.562087
112,11dd74426e8374ac110c4036c77c09ab_000000000118,0.383342,9247.024247
113,11dd74426e8374ac110c4036c77c09ab_000000000119,0.383342,9154.151359
114,11dd74426e8374ac110c4036c77c09ab_000000000120,0.383342,9075.385746
115,11dd74426e8374ac110c4036c77c09ab_000000000121,0.383342,8517.854519
116,11dd74426e8374ac110c4036c77c09ab_000000000122,0.383342,8554.592212
117,11dd74426e8374ac110c4036c77c09ab_000000000123,0.383342,8547.685525
118,11dd74426e8374ac110c4036c77c09ab_000000000124,0.376288,8237.876106
119,11dd74426e8374ac110c4036c77c09ab_000000000125,0.376288,8258.831858
120,11dd74426e8374ac110c4036c77c09ab_000000000126,0.376288,8313.769912
121,11dd74426e8374ac110c4036c77c09ab_000000000127,0.383342,8636.296841
122,11dd74426e8374ac110c4036c77c09ab_000000000128,0.383342,8635.415136
123,11dd74426e8374ac110c4036c77c09ab_000000000129,0.383342,8619.838354
124,11dd74426e8374ac110c4036c77c09ab_000000000130,0.383342,8631.300514
125,11dd74426e8374ac110c4036c77c09ab_000000000131,0.383342,8572.226304
126,11dd74426e8374ac110c4036c77c09ab_000000000132,0.383342,8592.799412
127,11dd74426e8374ac110c4036c77c09ab_000000000133,0.383342,8509.919177
128,11dd74426e8374ac110c4036c77c09ab_000000000134,0.383342,8466.127847
129,11dd74426e8374ac110c4036c77c09ab_000000000135,0.383342,8481.704629
130,11dd74426e8374ac110c4036c77c09ab_000000000136,0.383342,8542.248347
131,11dd74426e8374ac110c4036c77c09ab_000000000137,0.383342,8540.191036
132,11dd74426e8374ac110c4036c77c09ab_000000000138,0.376288,8179.823009
133,11dd74426e8374ac110c4036c77c09ab_000000000139,0.376288,8190.584071
134,11dd74426e8374ac110c4036c77c09ab_000000000140,0.383342,8539.015430
135,11dd74426e8374ac110c4036c77c09ab_000000000141,0.383342,8551.065393
136,11dd74426e8374ac110c4036c77c09ab_000000000142,0.383342,8569.581190
137,11dd74426e8374ac110c4036c77c09ab_000000000143,0.390658,8829.607020
138,11dd74426e8374ac110c4036c77c09ab_000000000144,0.390658,8820.144983
139,11dd74426e8374ac110c4036c77c09ab_000000000145,0.390658,8772.834796
140,11dd74426e8374ac110c4036c77c09ab_000000000146,0.390658,8762.457077
141,11dd74426e8374ac110c4036c77c09ab_000000000147,0.390658,8729.492560
142,11dd74426e8374ac110c4036c77c09ab_000000000148,0.390658,8732.850057
143,11dd74426e8374ac110c4036c77c09ab_000000000149,0.383342,8449.963262
144,11dd74426e8374ac110c4036c77c09ab_000000000150,0.390658,8747.195727
145,11dd74426e8374ac110c4036c77c09ab_000000000151,0.390658,8752.689813
146,11dd74426e8374ac110c4036c77c09ab_000000000152,0.390658,8713.315528
147,11dd74426e8374ac110c4036c77c09ab_000000000153,0.390658,8727.355971
148,11dd74426e8374ac110c4036c77c09ab_000000000154,0.390658,8795.421595
149,11dd74426e8374ac110c4036c77c09ab_000000000155,0.390658,8801.526135
150,11dd74426e8374ac110c4036c77c09ab_000000000156,0.390658,8767.951164
151,11dd74426e8374ac110c4036c77c09ab_000000000157,0.390658,8836.627242
152,11dd74426e8374ac110c4036c77c09ab_000000000158,0.388955,8827.231467
153,11dd74426e8374ac110c4036c77c09ab_000000000159,0.390658,8955.665776
154,11dd74426e8374ac110c4036c77c09ab_000000000160,0.383342,8574.283615
155,11dd74426e8374ac110c4036c77c09ab_000000000161,0.383342,8513.445996
156,11dd74426e8374ac110c4036c77c09ab_000000000162,0.383342,8550.183688
157,11dd74426e8374ac110c4036c77c09ab_000000000163,0.376288,8304.424779
158,11dd74426e8374ac110c4036c77c09ab_000000000164,0.383342,8645.113887
159,11dd74426e8374ac110c4036c77c09ab_000000000165,0.383342,8637.178545
160,11dd74426e8374ac110c4036c77c09ab_000000000166,0.383342,8624.246877
161,11dd74426e8374ac110c4036c77c09ab_000000000167,0.383342,8622.483468
162,11dd74426e8374ac110c4036c77c09ab_000000000168,0.390658,9292.331171
163,11dd74426e8374ac110c4036c77c09ab_000000000169,0.398252,9690.087232
164,11dd74426e8374ac110c4036c77c09ab_000000000170,0.390658,9194.353300
165,11dd74426e8374ac110c4036c77c09ab_000000000171,0.390658,9214.193056
166,11dd74426e8374ac110c4036c77c09ab_000000000172,0.390658,9223.960320
167,11dd74426e8374ac110c4036c77c09ab_000000000173,0.390658,9207.172835
168,11dd74426e8374ac110c4036c77c09ab_000000000174,0.390658,9205.646700
169,11dd74426e8374ac110c4036c77c09ab_000000000175,0.390658,8577.031667
170,11dd74426e8374ac110c4036c77c09ab_000000000176,0.390658,8463.945059
171,11dd74426e8374ac110c4036c77c09ab_000000000177,0.390658,8470.354826
172,11dd74426e8374ac110c4036c77c09ab_000000000178,0.390658,8458.145746
173,11dd74426e8374ac110c4036c77c09ab_000000000179,0.390658,8549.408623
174,11dd74426e8374ac110c4036c77c09ab_000000000180,0.383342,8224.834680
175,11dd74426e8374ac110c4036c77c09ab_000000000181,0.383342,8236.296841
176,11dd74426e8374ac110c4036c77c09ab_000000000182,0.381732,8150.091075
177,11dd74426e8374ac110c4036c77c09ab_000000000183,0.381732,8143.096539
178,11dd74426e8374ac110c4036c77c09ab_000000000184,0.376288,7954.973451
179,11dd74426e8374ac110c4036c77c09ab_000000000185,0.376288,7966.300885
180,11dd74426e8374ac110c4036c77c09ab_000000000186,0.376288,7931.185841
181,11dd74426e8374ac110c4036c77c09ab_000000000187,0.383342,8206.612785
182,11dd74426e8374ac110c4036c77c09ab_000000000188,0.383342,8207.494489
183,11dd74426e8374ac110c4036c77c09ab_000000000189,0.383342,8277.149155
184,11dd74426e8374ac110c4036c77c09ab_000000000190,0.383342,8285.084497
185,11dd74426e8374ac110c4036c77c09ab_000000000191,0.390658,8611.980160
186,11dd74426e8374ac110c4036c77c09ab_000000000192,0.390658,8608.317436
187,11dd74426e8374ac110c4036c77c09ab_000000000193,0.376288,7981.309735
188,11dd74426e8374ac110c4036c77c09ab_000000000194,0.383342,8315.650257
189,11dd74426e8374ac110c4036c77c09ab_000000000195,0.383342,8320.352682
190,11dd74426e8374ac110c4036c77c09ab_000000000196,0.383342,8215.723733
191,11dd74426e8374ac110c4036c77c09ab_000000000197,0.383342,1.157237
191,11dd74426e8374ac110c4036c77c09ab_000000000197,0.383342,8223.952976
192,11dd74426e8374ac110c4036c77c09ab_000000000198,0.383342,1.083762
192,11dd74426e8374ac110c4036c77c09ab_000000000198,0.383342,8300.367377
193,11dd74426e8374ac110c4036c77c09ab_000000000199,0.383342,8299.779574
194,11dd74426e8374ac110c4036c77c09ab_000000000200,0.383342,8280.675974
195,11dd74426e8374ac110c4036c77c09ab_000000000201,0.383342,8255.400441
196,11dd74426e8374ac110c4036c77c09ab_000000000202,0.383342,8268.038207
197,11dd74426e8374ac110c4036c77c09ab_000000000203,0.383342,8245.701690
198,11dd74426e8374ac110c4036c77c09ab_000000000204,0.383342,8233.357825
199,11dd74426e8374ac110c4036c77c09ab_000000000205,0.392232,8655.692308
200,11dd74426e8374ac110c4036c77c09ab_000000000206,0.390658,8581.457459
201,11dd74426e8374ac110c4036c77c09ab_000000000207,0.383342,8313.592946
202,11dd74426e8374ac110c4036c77c09ab_000000000208,0.383342,8310.653931
203,11dd74426e8374ac110c4036c77c09ab_000000000209,0.390658,8593.666539
204,11dd74426e8374ac110c4036c77c09ab_000000000210,0.383342,8291.256429
205,11dd74426e8374ac110c4036c77c09ab_000000000211,0.383342,8284.202792
206,11dd74426e8374ac110c4036c77c09ab_000000000212,0.376288,0.283186
206,11dd74426e8374ac110c4036c77c09ab_000000000212,0.376288,7980.743363
207,11dd74426e8374ac110c4036c77c09ab_000000000213,0.376288,7949.309735
208,11dd74426e8374ac110c4036c77c09ab_000000000214,0.383342,1.102131
208,11dd74426e8374ac110c4036c77c09ab_000000000214,0.383342,8290.374724
209,11dd74426e8374ac110c4036c77c09ab_000000000215,0.383342,0.670463
209,11dd74426e8374ac110c4036c77c09ab_000000000215,0.383342,8283.321087
210,11dd74426e8374ac110c4036c77c09ab_000000000216,0.383342,0.587803
210,11dd74426e8374ac110c4036c77c09ab_000000000216,0.383342,0.505143
210,11dd74426e8374ac110c4036c77c09ab_000000000216,0.383342,7.053637
210,11dd74426e8374ac110c4036c77c09ab_000000000216,0.383342,7565.025716
211,11dd74426e8374ac110c4036c77c09ab_000000000217,0.383342,7603.232917
212,11dd74426e8374ac110c4036c77c09ab_000000000218,0.383342,7596.767083
213,11dd74426e8374ac110c4036c77c09ab_000000000219,0.383342,8372.961058
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,1.469508
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,6.686260
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,0.376561
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,2.498163
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,4.628949
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,7669.654666
215,11dd74426e8374ac110c4036c77c09ab_000000000221,0.383342,8442.909625
216,11dd74426e8374ac110c4036c77c09ab_000000000222,0.376288,8105.911504
217,11dd74426e8374ac110c4036c77c09ab_000000000223,0.390658,8790.537963
218,11dd74426e8374ac110c4036c77c09ab_000000000224,0.383342,0.587803
218,11dd74426e8374ac110c4036c77c09ab_000000000224,0.383342,8339.162381
219,11dd74426e8374ac110c4036c77c09ab_000000000225,0.383342,8327.700220
220,11dd74426e8374ac110c4036c77c09ab_000000000226,0.383342,8252.461425
221,11dd74426e8374ac110c4036c77c09ab_000000000227,0.383342,7523.585599
222,11dd74426e8374ac110c4036c77c09ab_000000000228,0.383342,2.865540
