frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,306.124217,193.854718
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,328.530070,195.995186
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,327.030380,196.958900
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,325.616228,196.380920
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,323.290945,196.654171
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,318.984386,195.148193
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,328.783817,197.445138
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,324.841010,197.224850
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,331.124845,197.788733
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,336.036908,204.041878
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,336.736376,204.592488
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,388.639897,237.669800
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,340.685055,205.886367
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,336.158444,204.993097
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,328.435448,202.937731
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,315.759576,195.340279
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,326.873532,201.697540
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,331.400217,200.141943
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,324.120412,197.223490
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,320.832925,195.835140
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,320.521273,196.549460
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,326.991202,198.221356
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,326.820265,197.095139
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,324.615114,200.247333
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,325.360091,199.013759
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,328.277721,201.958321
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,326.779349,202.835465
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,327.579144,204.087506
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,329.433457,201.836502
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,328.004327,204.466933
29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,329.720894,202.420415
30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,330.103278,204.616410
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,387.108128,229.662286
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,328.125454,201.079293
32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,333.103313,201.481849
33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,328.942798,203.835023
34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,325.623619,200.991370
35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,326.829423,200.435356
36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,322.667251,198.950750
37,11dd74426e8374ac110c4036c77c09ab_000000000037,0.383342,321.771298,196.810551
38,11dd74426e8374ac110c4036c77c09ab_000000000038,0.383342,321.450053,197.809967
39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.383342,321.678738,197.171712
40,11dd74426e8374ac110c4036c77c09ab_000000000040,0.383342,324.026846,197.385914
41,11dd74426e8374ac110c4036c77c09ab_000000000041,0.390658,328.140714,202.560783
