frame_id,frame_name,delta_area_nm2_per_frame
1,11dd74426e8374ac110c4036c77c09ab_000000000001,-6.740682
2,11dd74426e8374ac110c4036c77c09ab_000000000002,-12.688343
3,11dd74426e8374ac110c4036c77c09ab_000000000003,1.625694
4,11dd74426e8374ac110c4036c77c09ab_000000000004,-9.861619
5,11dd74426e8374ac110c4036c77c09ab_000000000005,1.793209
6,11dd74426e8374ac110c4036c77c09ab_000000000006,2.647316
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.633874
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.534147
9,11dd74426e8374ac110c4036c77c09ab_000000000009,16.306998
10,11dd74426e8374ac110c4036c77c09ab_000000000010,-4.004758
11,11dd74426e8374ac110c4036c77c09ab_000000000011,-5.551150
12,11dd74426e8374ac110c4036c77c09ab_000000000012,1.268834
13,11dd74426e8374ac110c4036c77c09ab_000000000013,-19.351477
14,11dd74426e8374ac110c4036c77c09ab_000000000014,-37.962610
15,11dd74426e8374ac110c4036c77c09ab_000000000015,11.598626
16,11dd74426e8374ac110c4036c77c09ab_000000000016,10.988172
17,11dd74426e8374ac110c4036c77c09ab_000000000017,-13.712452
18,11dd74426e8374ac110c4036c77c09ab_000000000018,7.861866
19,11dd74426e8374ac110c4036c77c09ab_000000000019,-0.808229
20,11dd74426e8374ac110c4036c77c09ab_000000000020,31.992658
21,11dd74426e8374ac110c4036c77c09ab_000000000021,-1.068295
22,11dd74426e8374ac110c4036c77c09ab_000000000022,8.813430
23,11dd74426e8374ac110c4036c77c09ab_000000000023,3.891644
24,11dd74426e8374ac110c4036c77c09ab_000000000024,1.182755
25,11dd74426e8374ac110c4036c77c09ab_000000000025,-6.982068
26,11dd74426e8374ac110c4036c77c09ab_000000000026,1.983976
27,11dd74426e8374ac110c4036c77c09ab_000000000027,-2.251049
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.686761
29,11dd74426e8374ac110c4036c77c09ab_000000000029,-2.212896
30,11dd74426e8374ac110c4036c77c09ab_000000000030,5.532240
31,11dd74426e8374ac110c4036c77c09ab_000000000031,-3.166730
32,11dd74426e8374ac110c4036c77c09ab_000000000032,7.478062
33,11dd74426e8374ac110c4036c77c09ab_000000000033,-3.700878
34,11dd74426e8374ac110c4036c77c09ab_000000000034,-13.487471
35,11dd74426e8374ac110c4036c77c09ab_000000000035,-6.722998
36,11dd74426e8374ac110c4036c77c09ab_000000000036,5.326965
37,11dd74426e8374ac110c4036c77c09ab_000000000037,4.408523
38,11dd74426e8374ac110c4036c77c09ab_000000000038,-6.208670
39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.514328
40,11dd74426e8374ac110c4036c77c09ab_000000000040,2.057311
41,11dd74426e8374ac110c4036c77c09ab_000000000041,19.110104
42,11dd74426e8374ac110c4036c77c09ab_000000000042,-2.060282
43,11dd74426e8374ac110c4036c77c09ab_000000000043,-20.068676
44,11dd74426e8374ac110c4036c77c09ab_000000000044,13.887829
45,11dd74426e8374ac110c4036c77c09ab_000000000045,2.441816
46,11dd74426e8374ac110c4036c77c09ab_000000000046,-10.721099
47,11dd74426e8374ac110c4036c77c09ab_000000000047,1.640595
48,11dd74426e8374ac110c4036c77c09ab_000000000048,10.835559
49,11dd74426e8374ac110c4036c77c09ab_000000000049,-14.037191
50,11dd74426e8374ac110c4036c77c09ab_000000000050,14.640366
51,11dd74426e8374ac110c4036c77c09ab_000000000051,1.269231
52,11dd74426e8374ac110c4036c77c09ab_000000000052,-2.025020
53,11dd74426e8374ac110c4036c77c09ab_000000000059,31.362076
54,11dd74426e8374ac110c4036c77c09ab_000000000060,-7.706982
55,11dd74426e8374ac110c4036c77c09ab_000000000061,-6.714994
56,11dd74426e8374ac110c4036c77c09ab_000000000062,-8.546356
57,11dd74426e8374ac110c4036c77c09ab_000000000063,0.457841
58,11dd74426e8374ac110c4036c77c09ab_000000000064,-14.421976
59,11dd74426e8374ac110c4036c77c09ab_000000000065,-2.708890
60,11dd74426e8374ac110c4036c77c09ab_000000000066,-4.044258
61,11dd74426e8374ac110c4036c77c09ab_000000000067,7.134681
62,11dd74426e8374ac110c4036c77c09ab_000000000068,-0.152614
63,11dd74426e8374ac110c4036c77c09ab_000000000069,1.983976
64,11dd74426e8374ac110c4036c77c09ab_000000000070,0.152614
65,11dd74426e8374ac110c4036c77c09ab_000000000071,-0.495994
66,11dd74426e8374ac110c4036c77c09ab_000000000072,-0.801221
67,11dd74426e8374ac110c4036c77c09ab_000000000073,-6.443463
68,11dd74426e8374ac110c4036c77c09ab_000000000074,5.143277
69,11dd74426e8374ac110c4036c77c09ab_000000000075,-2.645114
70,11dd74426e8374ac110c4036c77c09ab_000000000076,41.259303
71,11dd74426e8374ac110c4036c77c09ab_000000000077,4.387638
72,11dd74426e8374ac110c4036c77c09ab_000000000078,10.263258
73,11dd74426e8374ac110c4036c77c09ab_000000000079,3.662724
74,11dd74426e8374ac110c4036c77c09ab_000000000080,-28.345884
75,11dd74426e8374ac110c4036c77c09ab_000000000081,1.873622
76,11dd74426e8374ac110c4036c77c09ab_000000000082,1.432770
77,11dd74426e8374ac110c4036c77c09ab_000000000083,2.645114
78,11dd74426e8374ac110c4036c77c09ab_000000000084,1.542983
79,11dd74426e8374ac110c4036c77c09ab_000000000085,-36.554004
80,11dd74426e8374ac110c4036c77c09ab_000000000086,0.624541
81,11dd74426e8374ac110c4036c77c09ab_000000000087,-28.398237
82,11dd74426e8374ac110c4036c77c09ab_000000000088,2.828802
83,11dd74426e8374ac110c4036c77c09ab_000000000089,1.469508
84,11dd74426e8374ac110c4036c77c09ab_000000000090,-4.665687
85,11dd74426e8374ac110c4036c77c09ab_000000000091,-3.894195
86,11dd74426e8374ac110c4036c77c09ab_000000000092,-16.128523
87,11dd74426e8374ac110c4036c77c09ab_000000000093,-2.336283
88,11dd74426e8374ac110c4036c77c09ab_000000000094,14.827775
89,11dd74426e8374ac110c4036c77c09ab_000000000095,0.808229
90,11dd74426e8374ac110c4036c77c09ab_000000000096,-20.867010
91,11dd74426e8374ac110c4036c77c09ab_000000000097,16.385011
92,11dd74426e8374ac110c4036c77c09ab_000000000098,0.293902
93,11dd74426e8374ac110c4036c77c09ab_000000000099,-6.539309
94,11dd74426e8374ac110c4036c77c09ab_000000000100,-0.000000
95,11dd74426e8374ac110c4036c77c09ab_000000000101,0.613526
96,11dd74426e8374ac110c4036c77c09ab_000000000102,1.415929
97,11dd74426e8374ac110c4036c77c09ab_000000000103,31.528276
98,11dd74426e8374ac110c4036c77c09ab_000000000104,5.951927
99,11dd74426e8374ac110c4036c77c09ab_000000000105,-11.809437
100,11dd74426e8374ac110c4036c77c09ab_000000000106,32.183340
101,11dd74426e8374ac110c4036c77c09ab_000000000107,-1.449828
102,11dd74426e8374ac110c4036c77c09ab_000000000108,-10.225105
103,11dd74426e8374ac110c4036c77c09ab_000000000109,-3.891644
104,11dd74426e8374ac110c4036c77c09ab_000000000110,-23.743875
105,11dd74426e8374ac110c4036c77c09ab_000000000111,31.221937
106,11dd74426e8374ac110c4036c77c09ab_000000000112,0.686761
107,11dd74426e8374ac110c4036c77c09ab_000000000113,-17.287096
108,11dd74426e8374ac110c4036c77c09ab_000000000114,6.245408
109,11dd74426e8374ac110c4036c77c09ab_000000000115,-26.879689
110,11dd74426e8374ac110c4036c77c09ab_000000000116,3.256637
111,11dd74426e8374ac110c4036c77c09ab_000000000117,6.503287
112,11dd74426e8374ac110c4036c77c09ab_000000000118,3.232917
113,11dd74426e8374ac110c4036c77c09ab_000000000119,19.103600
114,11dd74426e8374ac110c4036c77c09ab_000000000120,28.581925
115,11dd74426e8374ac110c4036c77c09ab_000000000121,-27.406319
116,11dd74426e8374ac110c4036c77c09ab_000000000122,-5.878031
117,11dd74426e8374ac110c4036c77c09ab_000000000123,-0.440852
118,11dd74426e8374ac110c4036c77c09ab_000000000124,-28.581483
119,11dd74426e8374ac110c4036c77c09ab_000000000125,0.920354
120,11dd74426e8374ac110c4036c77c09ab_000000000126,3.610619
121,11dd74426e8374ac110c4036c77c09ab_000000000127,32.720605
122,11dd74426e8374ac110c4036c77c09ab_000000000128,0.808229
123,11dd74426e8374ac110c4036c77c09ab_000000000129,23.218222
