frame_id,frame_name,delta_area_nm2_per_frame
1,11dd74426e8374ac110c4036c77c09ab_000000000001,-52.537669
2,11dd74426e8374ac110c4036c77c09ab_000000000002,137.034100
3,11dd74426e8374ac110c4036c77c09ab_000000000003,23.314830
4,11dd74426e8374ac110c4036c77c09ab_000000000004,-235.400615
5,11dd74426e8374ac110c4036c77c09ab_000000000005,7.172835
6,11dd74426e8374ac110c4036c77c09ab_000000000006,-17.662783
7,11dd74426e8374ac110c4036c77c09ab_000000000007,39.104980
8,11dd74426e8374ac110c4036c77c09ab_000000000008,-1.755055
9,11dd74426e8374ac110c4036c77c09ab_000000000009,175.075134
10,11dd74426e8374ac110c4036c77c09ab_000000000010,-12.926249
11,11dd74426e8374ac110c4036c77c09ab_000000000011,7.216495
12,11dd74426e8374ac110c4036c77c09ab_000000000012,-9.040444
13,11dd74426e8374ac110c4036c77c09ab_000000000013,-36.326462
14,11dd74426e8374ac110c4036c77c09ab_000000000014,-22.720336
15,11dd74426e8374ac110c4036c77c09ab_000000000015,-17.188096
16,11dd74426e8374ac110c4036c77c09ab_000000000016,4.120565
17,11dd74426e8374ac110c4036c77c09ab_000000000017,-93.198355
18,11dd74426e8374ac110c4036c77c09ab_000000000018,-14.107274
19,11dd74426e8374ac110c4036c77c09ab_000000000019,-7.347539
20,11dd74426e8374ac110c4036c77c09ab_000000000020,77.797006
21,11dd74426e8374ac110c4036c77c09ab_000000000021,21.823731
22,11dd74426e8374ac110c4036c77c09ab_000000000022,-110.492179
23,11dd74426e8374ac110c4036c77c09ab_000000000023,-70.354826
24,11dd74426e8374ac110c4036c77c09ab_000000000024,7.096528
25,11dd74426e8374ac110c4036c77c09ab_000000000025,2.212896
26,11dd74426e8374ac110c4036c77c09ab_000000000026,-14.803510
27,11dd74426e8374ac110c4036c77c09ab_000000000027,5.723006
28,11dd74426e8374ac110c4036c77c09ab_000000000028,-7.478062
29,11dd74426e8374ac110c4036c77c09ab_000000000029,-26.707364
30,11dd74426e8374ac110c4036c77c09ab_000000000030,-15.185044
31,11dd74426e8374ac110c4036c77c09ab_000000000031,-5.723006
32,11dd74426e8374ac110c4036c77c09ab_000000000032,-16.100725
33,11dd74426e8374ac110c4036c77c09ab_000000000033,14.421976
34,11dd74426e8374ac110c4036c77c09ab_000000000034,-83.464814
35,11dd74426e8374ac110c4036c77c09ab_000000000035,32.696547
36,11dd74426e8374ac110c4036c77c09ab_000000000036,-8.449669
37,11dd74426e8374ac110c4036c77c09ab_000000000037,-25.789860
38,11dd74426e8374ac110c4036c77c09ab_000000000038,-10.213079
39,11dd74426e8374ac110c4036c77c09ab_000000000039,-6.906686
40,11dd74426e8374ac110c4036c77c09ab_000000000040,31.741367
41,11dd74426e8374ac110c4036c77c09ab_000000000041,72.064944
42,11dd74426e8374ac110c4036c77c09ab_000000000042,-6.257154
43,11dd74426e8374ac110c4036c77c09ab_000000000043,-796.375429
44,11dd74426e8374ac110c4036c77c09ab_000000000044,2.479969
45,11dd74426e8374ac110c4036c77c09ab_000000000045,11.980160
46,11dd74426e8374ac110c4036c77c09ab_000000000046,-14.727203
47,11dd74426e8374ac110c4036c77c09ab_000000000047,11.369706
48,11dd74426e8374ac110c4036c77c09ab_000000000048,3.739031
49,11dd74426e8374ac110c4036c77c09ab_000000000049,-55.398198
50,11dd74426e8374ac110c4036c77c09ab_000000000050,68.141807
51,11dd74426e8374ac110c4036c77c09ab_000000000051,2.230769
52,11dd74426e8374ac110c4036c77c09ab_000000000052,-16.882047
53,11dd74426e8374ac110c4036c77c09ab_000000000059,62.895841
54,11dd74426e8374ac110c4036c77c09ab_000000000060,-62.056467
55,11dd74426e8374ac110c4036c77c09ab_000000000061,-3.204884
56,11dd74426e8374ac110c4036c77c09ab_000000000062,3.510111
57,11dd74426e8374ac110c4036c77c09ab_000000000063,-144.830217
58,11dd74426e8374ac110c4036c77c09ab_000000000064,-19.839756
59,11dd74426e8374ac110c4036c77c09ab_000000000065,15.490271
60,11dd74426e8374ac110c4036c77c09ab_000000000066,58.756200
61,11dd74426e8374ac110c4036c77c09ab_000000000067,59.366654
62,11dd74426e8374ac110c4036c77c09ab_000000000068,-10.301412
63,11dd74426e8374ac110c4036c77c09ab_000000000069,-18.542541
64,11dd74426e8374ac110c4036c77c09ab_000000000070,4.349485
65,11dd74426e8374ac110c4036c77c09ab_000000000071,-9.538344
66,11dd74426e8374ac110c4036c77c09ab_000000000072,-2.289203
67,11dd74426e8374ac110c4036c77c09ab_000000000073,-65.434078
68,11dd74426e8374ac110c4036c77c09ab_000000000074,-9.404849
69,11dd74426e8374ac110c4036c77c09ab_000000000075,-5.437179
70,11dd74426e8374ac110c4036c77c09ab_000000000076,36.933870
71,11dd74426e8374ac110c4036c77c09ab_000000000077,2.365509
72,11dd74426e8374ac110c4036c77c09ab_000000000078,-61.350630
73,11dd74426e8374ac110c4036c77c09ab_000000000079,-1.449828
74,11dd74426e8374ac110c4036c77c09ab_000000000080,-22.788415
75,11dd74426e8374ac110c4036c77c09ab_000000000081,-31.300514
76,11dd74426e8374ac110c4036c77c09ab_000000000082,0.661278
77,11dd74426e8374ac110c4036c77c09ab_000000000083,-63.703159
78,11dd74426e8374ac110c4036c77c09ab_000000000084,-5.143277
79,11dd74426e8374ac110c4036c77c09ab_000000000085,-19.617928
80,11dd74426e8374ac110c4036c77c09ab_000000000086,1.396032
81,11dd74426e8374ac110c4036c77c09ab_000000000087,13.592946
82,11dd74426e8374ac110c4036c77c09ab_000000000088,-6.980162
83,11dd74426e8374ac110c4036c77c09ab_000000000089,37.031594
84,11dd74426e8374ac110c4036c77c09ab_000000000090,13.152094
85,11dd74426e8374ac110c4036c77c09ab_000000000091,-18.148420
86,11dd74426e8374ac110c4036c77c09ab_000000000092,-103.055718
87,11dd74426e8374ac110c4036c77c09ab_000000000093,-7.575221
88,11dd74426e8374ac110c4036c77c09ab_000000000094,15.994642
89,11dd74426e8374ac110c4036c77c09ab_000000000095,-2.865540
90,11dd74426e8374ac110c4036c77c09ab_000000000096,23.291697
91,11dd74426e8374ac110c4036c77c09ab_000000000097,-86.554004
92,11dd74426e8374ac110c4036c77c09ab_000000000098,0.367377
93,11dd74426e8374ac110c4036c77c09ab_000000000099,-40.044085
94,11dd74426e8374ac110c4036c77c09ab_000000000100,29.390154
95,11dd74426e8374ac110c4036c77c09ab_000000000101,20.773741
96,11dd74426e8374ac110c4036c77c09ab_000000000102,4.247788
97,11dd74426e8374ac110c4036c77c09ab_000000000103,58.407431
