frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,289.029639,217.709387
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,342.857451,236.476942
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,297.230086,159.784778
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,360.012457,178.274367
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,288.986178,216.407461
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,344.701747,234.821004
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,300.551004,157.486154
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,359.589120,174.241912
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,288.030850,217.380630
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,345.693900,235.131968
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,296.292163,156.325017
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,358.298230,175.025508
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,288.819283,216.996623
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,344.841611,235.346261
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,297.315794,156.420350
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,363.713785,174.995172
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,283.151644,212.113492
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,338.258069,231.380021
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,292.602968,154.818916
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,350.457255,171.014523
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,283.473775,212.535027
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,336.726053,231.296234
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,291.600859,154.762811
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,353.353259,172.206466
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,284.887725,213.977570
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,340.087882,233.712427
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,296.381850,154.288827
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,355.001877,174.271235
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,282.608648,211.318704
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,337.727305,232.369160
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,293.392915,154.245459
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,350.891905,174.290729
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,284.707098,212.091746
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,337.094250,232.418946
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,294.325210,156.600803
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,353.323311,176.275397
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,291.109667,216.317548
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,344.205974,236.815786
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,300.356813,157.784333
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,357.829074,178.057120
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,290.454560,216.682256
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,345.046473,237.793987
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,298.328900,157.632825
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,357.080894,177.306874
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,292.676008,216.473990
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,347.791040,237.858450
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,297.741075,159.037255
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,356.222626,180.131120
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,290.195833,216.021631
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,345.645188,236.713622
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,298.650340,158.120090
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,355.651257,180.108805
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,283.853393,212.954131
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,337.529663,233.724803
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,294.184365,155.113519
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,353.497633,176.249359
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,282.317133,213.015839
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,332.439261,230.493650
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,296.011973,158.661366
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,354.180664,178.144433
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,282.171924,213.664249
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,336.030766,231.504558
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,293.094176,154.595892
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,353.635904,174.626904
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,283.716386,212.806943
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,336.265485,231.324155
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,293.429683,154.170876
