frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm,diameter_nm,height_nm
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,289.029639,217.709387,34.599659,15.856325
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,342.857451,236.476942,36.547428,17.670395
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,297.230086,159.784778,47.679173,26.351124
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,360.012457,178.274367,46.017670,23.114248
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,288.986178,216.407461,33.625515,16.497917
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,344.701747,234.821004,34.381161,17.883230
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,300.551004,157.486154,46.070122,27.192360
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,359.589120,174.241912,43.070866,23.550444
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,288.030850,217.380630,34.281742,16.540991
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,345.693900,235.131968,35.464489,19.721296
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,296.292163,156.325017,48.623562,26.109917
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,358.298230,175.025508,43.862652,25.034809
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,288.819283,216.996623,34.016426,16.409214
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,344.841611,235.346261,35.663811,19.923637
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,297.315794,156.420350,48.634987,26.286057
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,363.713785,174.995172,43.977116,25.202541
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,283.151644,212.113492,32.737286,15.318570
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,338.258069,231.380021,32.934666,17.337852
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,292.602968,154.818916,47.350731,25.578672
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,350.457255,171.014523,42.597553,24.899652
