frame_id,frame_name,delta_area_nm2_per_frame
1,11dd74426e8374ac110c4036c77c09ab_000000000001,-57.731959
2,11dd74426e8374ac110c4036c77c09ab_000000000002,-57.097542
3,11dd74426e8374ac110c4036c77c09ab_000000000003,-14.274385
4,11dd74426e8374ac110c4036c77c09ab_000000000004,-182.428086
5,11dd74426e8374ac110c4036c77c09ab_000000000005,3.052270
6,11dd74426e8374ac110c4036c77c09ab_000000000006,99.061779
7,11dd74426e8374ac110c4036c77c09ab_000000000007,-506.845068
8,11dd74426e8374ac110c4036c77c09ab_000000000008,-57.993132
9,11dd74426e8374ac110c4036c77c09ab_000000000009,404.390936
10,11dd74426e8374ac110c4036c77c09ab_000000000010,15.860428
11,11dd74426e8374ac110c4036c77c09ab_000000000011,22.204600
12,11dd74426e8374ac110c4036c77c09ab_000000000012,-7.295797
13,11dd74426e8374ac110c4036c77c09ab_000000000013,-207.766043
14,11dd74426e8374ac110c4036c77c09ab_000000000014,-170.011446
15,11dd74426e8374ac110c4036c77c09ab_000000000015,-64.402900
16,11dd74426e8374ac110c4036c77c09ab_000000000016,13.429989
17,11dd74426e8374ac110c4036c77c09ab_000000000017,-264.485262
18,11dd74426e8374ac110c4036c77c09ab_000000000018,17.340191
19,11dd74426e8374ac110c4036c77c09ab_000000000019,23.512123
20,11dd74426e8374ac110c4036c77c09ab_000000000020,281.626080
21,11dd74426e8374ac110c4036c77c09ab_000000000021,8.851583
22,11dd74426e8374ac110c4036c77c09ab_000000000022,-33.880198
23,11dd74426e8374ac110c4036c77c09ab_000000000023,8.241129
24,11dd74426e8374ac110c4036c77c09ab_000000000024,-4.883632
25,11dd74426e8374ac110c4036c77c09ab_000000000025,26.249523
26,11dd74426e8374ac110c4036c77c09ab_000000000026,-7.630675
27,11dd74426e8374ac110c4036c77c09ab_000000000027,26.554750
28,11dd74426e8374ac110c4036c77c09ab_000000000028,-18.313621
29,11dd74426e8374ac110c4036c77c09ab_000000000029,-9.156810
30,11dd74426e8374ac110c4036c77c09ab_000000000030,1.526135
31,11dd74426e8374ac110c4036c77c09ab_000000000031,-10.072491
32,11dd74426e8374ac110c4036c77c09ab_000000000032,33.269744
33,11dd74426e8374ac110c4036c77c09ab_000000000033,20.144983
34,11dd74426e8374ac110c4036c77c09ab_000000000034,-172.048909
35,11dd74426e8374ac110c4036c77c09ab_000000000035,19.985305
36,11dd74426e8374ac110c4036c77c09ab_000000000036,20.573108
37,11dd74426e8374ac110c4036c77c09ab_000000000037,-11.756062
38,11dd74426e8374ac110c4036c77c09ab_000000000038,1.175606
39,11dd74426e8374ac110c4036c77c09ab_000000000039,70.536370
40,11dd74426e8374ac110c4036c77c09ab_000000000040,37.619398
41,11dd74426e8374ac110c4036c77c09ab_000000000041,323.270392
42,11dd74426e8374ac110c4036c77c09ab_000000000042,-4.883632
43,11dd74426e8374ac110c4036c77c09ab_000000000043,706.600534
44,11dd74426e8374ac110c4036c77c09ab_000000000044,-71.117894
45,11dd74426e8374ac110c4036c77c09ab_000000000045,-22.281572
46,11dd74426e8374ac110c4036c77c09ab_000000000046,24.418161
47,11dd74426e8374ac110c4036c77c09ab_000000000047,-35.101106
48,11dd74426e8374ac110c4036c77c09ab_000000000048,-33.880198
49,11dd74426e8374ac110c4036c77c09ab_000000000049,-306.275235
50,11dd74426e8374ac110c4036c77c09ab_000000000050,352.392924
51,11dd74426e8374ac110c4036c77c09ab_000000000051,-16.923077
52,11dd74426e8374ac110c4036c77c09ab_000000000052,-87.798198
53,11dd74426e8374ac110c4036c77c09ab_000000000059,420.908050
54,11dd74426e8374ac110c4036c77c09ab_000000000060,-91.873331
55,11dd74426e8374ac110c4036c77c09ab_000000000061,3.662724
56,11dd74426e8374ac110c4036c77c09ab_000000000062,202.975963
57,11dd74426e8374ac110c4036c77c09ab_000000000063,47.004960
58,11dd74426e8374ac110c4036c77c09ab_000000000064,5.188859
59,11dd74426e8374ac110c4036c77c09ab_000000000065,6.104540
60,11dd74426e8374ac110c4036c77c09ab_000000000066,-117.512400
61,11dd74426e8374ac110c4036c77c09ab_000000000067,101.487982
