frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm,diameter_nm,height_nm
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,306.124217,193.854718,161.348602,75.301392
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,328.530070,195.995186,158.964371,72.852882
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,327.030380,196.958900,157.323715,72.872475
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,325.616228,196.380920,160.091309,81.146698
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,323.290945,196.654171,156.435669,72.998413
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,318.984386,195.148193,156.072250,73.487038
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,328.783817,197.445138,158.514771,73.992760
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,324.841010,197.224850,153.130096,69.478516
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,331.124845,197.788733,152.021927,68.412277
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,336.036908,204.041878,159.481216,71.953278
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,336.736376,204.592488,159.941010,71.950203
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,388.639897,237.669800,0.890524,0.712418
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,340.685055,205.886367,159.826630,72.897171
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,336.158444,204.993097,160.120255,73.011963
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,328.435448,202.937731,156.862259,71.509048
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,315.759576,195.340279,155.778580,66.880806
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,326.873532,201.697540,156.619766,66.694801
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,331.400217,200.141943,156.541412,66.359642
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,324.120412,197.223490,153.740097,65.116852
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,320.832925,195.835140,153.013092,65.567657
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,320.521273,196.549460,153.193695,65.508415
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,326.991202,198.221356,156.087555,67.198036
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,326.820265,197.095139,156.015869,67.324280
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,324.615114,200.247333,156.012299,66.960945
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,325.360091,199.013759,156.622375,66.920380
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,328.277721,201.958321,156.542160,67.101364
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,326.779349,202.835465,156.028732,68.716614
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,327.579144,204.087506,156.015427,67.010139
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,329.433457,201.836502,155.081558,67.389389
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,328.004327,204.466933,155.081558,67.285011
29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,329.720894,202.420415,153.994919,66.731155
30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,330.103278,204.616410,153.994949,66.844765
