instance_id,frame_id,frame_name,nm_per_pixel,area_nm2,cx_nm,cy_nm
1,0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,8078.033307,306.124217,193.854718
1,1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,8020.301348,328.530070,195.995186
1,2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,7963.203807,327.030380,196.958900
1,3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,7948.929421,325.616228,196.380920
1,4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,7766.501335,323.290945,196.654171
1,5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,7769.553605,318.984386,195.148193
1,6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,7868.615385,328.783817,197.445138
1,7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,7361.770317,324.841010,197.224850
1,8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,7303.777184,331.124845,197.788733
1,9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,7708.168121,336.036908,204.041878
1,10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,7724.028549,336.736376,204.592488
2,11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,0.317209,388.639897,237.669800
3,11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,7745.915940,340.685055,205.886367
4,12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,7738.937351,336.158444,204.993097
4,13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,7531.171309,328.435448,202.937731
4,14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,7361.159863,315.759576,195.340279
4,15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,7296.756963,326.873532,201.697540
4,16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,7310.186952,331.400217,200.141943
4,17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,7045.701690,324.120412,197.223490
4,18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,7063.041881,320.832925,195.835140
4,19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,7086.554004,320.521273,196.549460
4,20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,7368.180084,326.991202,198.221356
4,21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,7377.031667,326.820265,197.095139
4,22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,7343.151469,324.615114,200.247333
4,23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,7351.392598,325.360091,199.013759
4,24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,7346.508966,328.277721,201.958321
4,25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,7372.758489,326.779349,202.835465
4,26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,7365.127814,327.579144,204.087506
4,27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,7391.682564,329.433457,201.836502
4,28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,7373.368943,328.004327,204.466933
4,29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,7364.212133,329.720894,202.420415
4,30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,7365.738268,330.103278,204.616410
5,31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,1.526135,387.108128,229.662286
6,31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,7354.139641,328.125454,201.079293
7,32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,7388.935521,333.103313,201.481849
7,33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,7409.080504,328.942798,203.835023
7,34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,7237.031594,325.623619,200.991370
7,35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,7257.016899,326.829423,200.435356
7,36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,7277.590007,322.667251,198.950750
