frame_id,frame_name,nm_per_pixel,area_nm2
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,8078.667724
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,8020.618557
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,7963.838224
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,7947.977795
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,7765.585654
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,7769.553605
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,7869.230769
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,7361.770317
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,7302.556276
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,7708.168121
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,7723.711340
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,0.317209
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,7744.329897
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,7739.254560
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,7531.171309
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,7359.938955
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,7297.672644
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,7310.186952
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,7045.701690
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,7062.160176
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,7088.317414
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,7367.874857
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,7377.031667
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,7342.541015
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,7351.392598
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,7345.593285
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,7372.453262
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,7364.822587
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,7389.851202
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,7373.063716
29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,7364.212133
30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,7365.433041
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,1.526135
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,7354.444868
32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,7387.409386
33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,7408.775277
34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,7236.737693
35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,7257.310801
36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,7276.414401
37,11dd74426e8374ac110c4036c77c09ab_000000000037,0.383342,7266.421749
38,11dd74426e8374ac110c4036c77c09ab_000000000038,0.383342,7266.421749
39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.383342,7337.839824
40,11dd74426e8374ac110c4036c77c09ab_000000000040,0.383342,7374.577517
