frame,cx,cy
0,768.67,486.76
1,824.93,492.14
2,821.17,494.56
3,817.61,493.11
4,827.56,503.39
5,816.53,499.54
6,838.24,503.39
7,831.52,504.85
8,847.61,506.30
9,843.78,512.34
10,845.54,513.73
11,975.87,596.78
11,855.45,516.98
12,844.09,514.73
13,840.72,519.48
14,808.28,500.03
15,836.73,516.30
16,848.31,512.32
17,845.51,514.48
18,836.94,510.86
19,836.12,512.73
20,837.03,507.40
21,836.59,504.52
22,830.94,512.59
23,832.85,509.43
24,840.32,516.97
25,836.48,519.22
26,838.53,522.42
27,843.28,516.66
28,839.62,523.39
29,844.01,518.15
30,844.99,523.77
31,990.91,587.89
31,839.93,514.72
32,852.67,515.75
33,842.02,521.77
34,849.43,524.31
35,852.58,522.86
36,841.72,518.99
37,839.39,513.41
38,838.55,516.01
39,839.14,514.35
40,845.27,514.91
41,839.97,518.51
42,842.39,513.71
43,810.15,512.62
44,841.17,511.02
45,848.42,513.28
46,832.15,506.90
47,844.20,516.22
48,841.40,512.19
49,849.28,516.18
50,849.07,514.82
51,851.89,515.74
52,845.88,517.22
53,813.11,495.85
54,825.93,494.18
55,820.59,491.90
56,835.97,503.79
57,839.96,500.97
58,841.35,498.24
59,843.33,507.26
60,837.82,505.32
61,840.90,504.94
62,845.14,504.77
63,847.84,503.66
64,850.86,505.41
65,835.84,499.09
66,834.27,496.77
67,858.21,508.49
68,823.87,497.31
69,832.52,496.95
70,853.61,504.40
71,854.80,510.59
72,863.36,507.16
73,857.69,511.24
74,864.10,511.08
75,865.93,514.11
76,862.48,509.83
77,862.42,510.09
78,877.20,518.45
79,871.96,513.13
80,871.49,512.24
81,869.27,516.20
82,874.97,511.40
83,873.03,511.77
84,872.13,513.72
85,874.21,511.24
86,870.48,503.15
87,868.99,507.78
88,880.75,511.26
89,872.59,505.57
90,879.28,510.64
91,876.84,514.15
92,867.66,520.11
93,864.21,514.75
94,875.04,511.42
95,866.10,507.57
96,866.36,505.56
97,880.60,515.64
98,890.76,517.21
99,889.16,509.40
100,869.92,511.06
101,863.87,507.83
102,848.41,507.98
103,860.39,512.00
104,864.07,516.83
105,842.95,506.65
106,844.77,517.01
107,859.64,509.58
108,871.80,515.87
109,854.04,509.43
110,855.91,508.82
111,856.91,509.09
112,859.40,509.93
113,855.12,507.92
114,850.98,513.89
115,818.76,504.73
116,841.50,512.59
117,839.37,507.77
118,837.01,515.15
119,837.07,504.79
120,844.12,521.13
121,838.52,517.49
122,851.24,520.97
123,854.62,524.48
124,853.46,520.08
125,868.37,521.85
126,857.27,521.05
127,848.37,510.29
128,847.59,511.05
129,843.82,510.75
130,849.78,517.86
131,841.86,515.28
132,841.72,510.30
133,846.22,512.27
134,843.72,512.95
135,842.14,508.68
136,838.68,508.69
137,840.93,509.21
138,842.31,514.63
139,849.02,514.29
140,849.06,516.97
