frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm,diameter_nm,height_nm
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,244.281981,201.798990,21.173763,14.459431
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,254.697022,156.286064,19.086954,13.910534
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,242.723492,198.107871,20.527918,14.482900
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,253.385301,154.210278,18.878981,13.179673
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,242.967586,198.773443,20.303802,14.782591
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,254.113087,155.327152,19.078568,12.780169
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,243.678722,198.737881,20.125704,14.960703
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,254.875827,155.308204,19.094658,12.738131
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,238.844532,195.662743,19.187916,14.089408
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,248.440970,152.561201,13.928009,18.286451
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,238.293572,196.437227,19.230167,14.097026
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,247.479777,152.301374,18.972010,12.559466
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,240.157518,197.956579,19.180311,14.331356
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,250.979887,153.028951,19.159483,12.392447
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,237.563759,196.492343,18.654076,14.206732
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,248.853779,151.920552,14.792206,18.277296
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,237.792923,196.290147,19.060328,15.193022
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,249.460987,152.535914,19.936327,12.761054
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,243.086959,201.448199,18.708803,14.551276
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,255.381663,156.727072,15.930061,17.921318
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,243.066809,202.237337,18.708780,14.441880
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,254.896342,157.041306,15.930061,17.921318
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,244.502352,202.240169,17.918571,14.879753
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,255.905340,155.900805,19.413279,15.495001
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,243.206624,201.318288,18.080605,14.814961
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,254.965472,155.191626,20.838881,13.235501
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,241.736268,198.267566,18.011675,14.280856
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,252.487845,152.628536,19.926552,12.985854
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,251.733211,152.374467,16.968578,21.671003
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,240.979893,197.984789,19.517128,12.810666
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,252.951847,153.475410,21.652489,12.627090
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,241.666882,197.912983,17.932846,12.739084
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,250.738064,150.928957,19.044424,15.728238
