frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,244.281981,201.798990
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,254.697022,156.286064
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,242.723492,198.107871
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,253.385301,154.210278
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,242.967586,198.773443
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,254.113087,155.327152
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,243.678722,198.737881
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,254.875827,155.308204
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,238.844532,195.662743
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,248.440970,152.561201
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,238.293572,196.437227
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,247.479777,152.301374
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,240.157518,197.956579
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,250.979887,153.028951
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,237.563759,196.492343
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,248.853779,151.920552
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,237.792923,196.290147
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,249.460987,152.535914
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,243.086959,201.448199
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,255.381663,156.727072
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,243.066809,202.237337
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,254.896342,157.041306
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,244.502352,202.240169
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,255.905340,155.900805
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,243.206624,201.318288
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,254.965472,155.191626
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,241.736268,198.267566
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,252.487845,152.628536
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,251.733211,152.374467
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,240.979893,197.984789
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,252.951847,153.475410
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,241.666882,197.912983
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,250.738064,150.928957
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,241.265518,197.355311
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,246.437002,148.737413
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,236.543822,194.104383
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,245.976285,148.883775
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,237.420987,194.780963
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,246.271606,148.454656
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,237.456926,194.300639
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,251.940462,151.101301
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,241.279109,197.400245
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,251.335734,151.440277
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,240.826100,197.352116
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,253.855100,152.822553
