instance_id,frame_id,frame_name,speed_nm_per_s
1,9,11dd74426e8374ac110c4036c77c09ab_000000000009,83.958915
1,19,11dd74426e8374ac110c4036c77c09ab_000000000019,50.127355
1,29,11dd74426e8374ac110c4036c77c09ab_000000000029,56.203248
1,39,11dd74426e8374ac110c4036c77c09ab_000000000039,45.849853
1,49,11dd74426e8374ac110c4036c77c09ab_000000000049,70.456203
1,59,11dd74426e8374ac110c4036c77c09ab_000000000065,81.993767
1,69,11dd74426e8374ac110c4036c77c09ab_000000000075,44.871869
1,79,11dd74426e8374ac110c4036c77c09ab_000000000085,75.005992
1,89,11dd74426e8374ac110c4036c77c09ab_000000000095,56.469058
1,99,11dd74426e8374ac110c4036c77c09ab_000000000105,97.010823
1,109,11dd74426e8374ac110c4036c77c09ab_000000000115,113.782235
1,119,11dd74426e8374ac110c4036c77c09ab_000000000125,82.429856
1,129,11dd74426e8374ac110c4036c77c09ab_000000000135,64.059209
1,139,11dd74426e8374ac110c4036c77c09ab_000000000145,89.304055
1,149,11dd74426e8374ac110c4036c77c09ab_000000000155,63.152705
1,159,11dd74426e8374ac110c4036c77c09ab_000000000165,104.907670
1,163,11dd74426e8374ac110c4036c77c09ab_000000000169,157.101150
2,9,11dd74426e8374ac110c4036c77c09ab_000000000009,88.783392
2,19,11dd74426e8374ac110c4036c77c09ab_000000000019,55.462438
2,29,11dd74426e8374ac110c4036c77c09ab_000000000029,69.044701
2,39,11dd74426e8374ac110c4036c77c09ab_000000000039,56.167844
2,49,11dd74426e8374ac110c4036c77c09ab_000000000049,82.597480
2,59,11dd74426e8374ac110c4036c77c09ab_000000000065,63.544290
2,69,11dd74426e8374ac110c4036c77c09ab_000000000075,55.315922
2,79,11dd74426e8374ac110c4036c77c09ab_000000000085,74.530518
2,89,11dd74426e8374ac110c4036c77c09ab_000000000095,61.753612
2,99,11dd74426e8374ac110c4036c77c09ab_000000000105,96.400479
2,109,11dd74426e8374ac110c4036c77c09ab_000000000115,98.467121
2,119,11dd74426e8374ac110c4036c77c09ab_000000000125,68.256516
2,129,11dd74426e8374ac110c4036c77c09ab_000000000135,49.611278
2,139,11dd74426e8374ac110c4036c77c09ab_000000000145,70.413884
2,149,11dd74426e8374ac110c4036c77c09ab_000000000155,79.576880
2,159,11dd74426e8374ac110c4036c77c09ab_000000000165,100.603566
2,163,11dd74426e8374ac110c4036c77c09ab_000000000169,123.002247
6,169,11dd74426e8374ac110c4036c77c09ab_000000000175,46.881470
6,179,11dd74426e8374ac110c4036c77c09ab_000000000185,70.642296
6,189,11dd74426e8374ac110c4036c77c09ab_000000000195,95.592897
6,199,11dd74426e8374ac110c4036c77c09ab_000000000205,72.749312
6,209,11dd74426e8374ac110c4036c77c09ab_000000000215,99.104120
6,219,11dd74426e8374ac110c4036c77c09ab_000000000225,109.739245
6,229,11dd74426e8374ac110c4036c77c09ab_000000000235,34.923902
6,235,11dd74426e8374ac110c4036c77c09ab_000000000241,40.668854
7,169,11dd74426e8374ac110c4036c77c09ab_000000000175,56.715179
7,179,11dd74426e8374ac110c4036c77c09ab_000000000185,60.999810
7,189,11dd74426e8374ac110c4036c77c09ab_000000000195,119.795023
7,199,11dd74426e8374ac110c4036c77c09ab_000000000205,55.136887
7,209,11dd74426e8374ac110c4036c77c09ab_000000000215,108.879955
7,219,11dd74426e8374ac110c4036c77c09ab_000000000225,117.292818
7,229,11dd74426e8374ac110c4036c77c09ab_000000000235,49.657423
7,235,11dd74426e8374ac110c4036c77c09ab_000000000241,38.727274
8,239,11dd74426e8374ac110c4036c77c09ab_000000000245,218.982338
8,249,11dd74426e8374ac110c4036c77c09ab_000000000255,91.871208
8,259,11dd74426e8374ac110c4036c77c09ab_000000000265,125.967333
8,269,11dd74426e8374ac110c4036c77c09ab_000000000275,73.002739
8,279,11dd74426e8374ac110c4036c77c09ab_000000000285,81.164435
8,281,11dd74426e8374ac110c4036c77c09ab_000000000287,36.186908
14,289,11dd74426e8374ac110c4036c77c09ab_000000000295,180.319719
14,299,11dd74426e8374ac110c4036c77c09ab_000000000305,94.593855
14,309,11dd74426e8374ac110c4036c77c09ab_000000000315,97.683246
14,319,11dd74426e8374ac110c4036c77c09ab_000000000325,76.373750
14,323,11dd74426e8374ac110c4036c77c09ab_000000000329,99.217583
15,289,11dd74426e8374ac110c4036c77c09ab_000000000295,182.106323
15,299,11dd74426e8374ac110c4036c77c09ab_000000000305,84.364383
15,309,11dd74426e8374ac110c4036c77c09ab_000000000315,110.346791
15,319,11dd74426e8374ac110c4036c77c09ab_000000000325,72.151363
15,323,11dd74426e8374ac110c4036c77c09ab_000000000329,88.501143
16,325,11dd74426e8374ac110c4036c77c09ab_000000000331,36.424077
17,325,11dd74426e8374ac110c4036c77c09ab_000000000331,20.395375
18,325,11dd74426e8374ac110c4036c77c09ab_000000000331,20.573175
19,329,11dd74426e8374ac110c4036c77c09ab_000000000335,93.713688
19,332,11dd74426e8374ac110c4036c77c09ab_000000000338,55.317999
20,329,11dd74426e8374ac110c4036c77c09ab_000000000335,88.033982
20,332,11dd74426e8374ac110c4036c77c09ab_000000000338,37.080584
21,339,11dd74426e8374ac110c4036c77c09ab_000000000379,131.991929
21,349,11dd74426e8374ac110c4036c77c09ab_000000000389,77.301305
21,359,11dd74426e8374ac110c4036c77c09ab_000000000399,202.902038
21,369,11dd74426e8374ac110c4036c77c09ab_000000000409,69.373551
21,379,11dd74426e8374ac110c4036c77c09ab_000000000419,129.946633
21,389,11dd74426e8374ac110c4036c77c09ab_000000000429,160.257601
21,399,11dd74426e8374ac110c4036c77c09ab_000000000439,93.400728
21,409,11dd74426e8374ac110c4036c77c09ab_000000000449,60.478975
21,419,11dd74426e8374ac110c4036c77c09ab_000000000459,77.324163
21,429,11dd74426e8374ac110c4036c77c09ab_000000000469,69.154380
21,439,11dd74426e8374ac110c4036c77c09ab_000000000479,179.012426
21,449,11dd74426e8374ac110c4036c77c09ab_000000000489,68.985581
21,459,11dd74426e8374ac110c4036c77c09ab_000000000499,71.915078
22,462,11dd74426e8374ac110c4036c77c09ab_000000000502,90.924445
23,462,11dd74426e8374ac110c4036c77c09ab_000000000502,74.637195
24,469,11dd74426e8374ac110c4036c77c09ab_000000000509,137.923237
24,479,11dd74426e8374ac110c4036c77c09ab_000000000519,73.257360
24,489,11dd74426e8374ac110c4036c77c09ab_000000000529,69.558189
24,499,11dd74426e8374ac110c4036c77c09ab_000000000539,139.774371
24,509,11dd74426e8374ac110c4036c77c09ab_000000000558,181.159004
24,519,11dd74426e8374ac110c4036c77c09ab_000000000568,121.675977
24,529,11dd74426e8374ac110c4036c77c09ab_000000000578,72.259717
24,539,11dd74426e8374ac110c4036c77c09ab_000000000594,89.651965
24,549,11dd74426e8374ac110c4036c77c09ab_000000000604,142.315277
24,559,11dd74426e8374ac110c4036c77c09ab_000000000614,295.905102
24,569,11dd74426e8374ac110c4036c77c09ab_000000000624,49.672979
25,579,11dd74426e8374ac110c4036c77c09ab_000000000634,79.337503
25,589,11dd74426e8374ac110c4036c77c09ab_000000000644,62.028485
25,599,11dd74426e8374ac110c4036c77c09ab_000000000654,112.312758
25,609,11dd74426e8374ac110c4036c77c09ab_000000000664,128.639307
25,615,11dd74426e8374ac110c4036c77c09ab_000000000670,42.395630
26,579,11dd74426e8374ac110c4036c77c09ab_000000000634,74.348840
26,589,11dd74426e8374ac110c4036c77c09ab_000000000644,56.014540
26,599,11dd74426e8374ac110c4036c77c09ab_000000000654,93.421686
26,609,11dd74426e8374ac110c4036c77c09ab_000000000664,119.125517
26,615,11dd74426e8374ac110c4036c77c09ab_000000000670,55.899424
30,619,11dd74426e8374ac110c4036c77c09ab_000000000674,24.602200
30,629,11dd74426e8374ac110c4036c77c09ab_000000000684,85.132359
30,639,11dd74426e8374ac110c4036c77c09ab_000000000694,190.937324
30,649,11dd74426e8374ac110c4036c77c09ab_000000000704,145.021323
30,659,11dd74426e8374ac110c4036c77c09ab_000000000714,138.061432
30,669,11dd74426e8374ac110c4036c77c09ab_000000000724,63.393745
30,679,11dd74426e8374ac110c4036c77c09ab_000000000734,31.767719
30,689,11dd74426e8374ac110c4036c77c09ab_000000000744,68.220918
30,699,11dd74426e8374ac110c4036c77c09ab_000000000754,64.492546
30,709,11dd74426e8374ac110c4036c77c09ab_000000000764,103.515254
30,717,11dd74426e8374ac110c4036c77c09ab_000000000772,100.997291
31,619,11dd74426e8374ac110c4036c77c09ab_000000000674,27.880600
31,629,11dd74426e8374ac110c4036c77c09ab_000000000684,102.033740
31,639,11dd74426e8374ac110c4036c77c09ab_000000000694,179.690606
31,649,11dd74426e8374ac110c4036c77c09ab_000000000704,151.134073
31,659,11dd74426e8374ac110c4036c77c09ab_000000000714,140.114435
31,669,11dd74426e8374ac110c4036c77c09ab_000000000724,68.732085
31,679,11dd74426e8374ac110c4036c77c09ab_000000000734,48.965782
31,689,11dd74426e8374ac110c4036c77c09ab_000000000744,48.515256
31,699,11dd74426e8374ac110c4036c77c09ab_000000000754,64.784800
31,709,11dd74426e8374ac110c4036c77c09ab_000000000764,76.304046
31,717,11dd74426e8374ac110c4036c77c09ab_000000000772,102.429801
39,721,11dd74426e8374ac110c4036c77c09ab_000000000776,23.936005
40,721,11dd74426e8374ac110c4036c77c09ab_000000000776,10.342122
44,729,11dd74426e8374ac110c4036c77c09ab_000000000784,52.359783
44,739,11dd74426e8374ac110c4036c77c09ab_000000000794,82.733246
44,749,11dd74426e8374ac110c4036c77c09ab_000000000804,100.543894
44,759,11dd74426e8374ac110c4036c77c09ab_000000000814,105.328532
44,769,11dd74426e8374ac110c4036c77c09ab_000000000824,115.332906
44,779,11dd74426e8374ac110c4036c77c09ab_000000000834,214.308619
44,789,11dd74426e8374ac110c4036c77c09ab_000000000844,110.748860
44,799,11dd74426e8374ac110c4036c77c09ab_000000000854,109.999964
44,809,11dd74426e8374ac110c4036c77c09ab_000000000864,144.723114
44,819,11dd74426e8374ac110c4036c77c09ab_000000000874,203.677018
44,829,11dd74426e8374ac110c4036c77c09ab_000000000884,107.616318
44,839,11dd74426e8374ac110c4036c77c09ab_000000000900,122.862962
44,849,11dd74426e8374ac110c4036c77c09ab_000000000910,97.336103
44,859,11dd74426e8374ac110c4036c77c09ab_000000000920,112.343860
44,869,11dd74426e8374ac110c4036c77c09ab_000000000930,109.568709
44,879,11dd74426e8374ac110c4036c77c09ab_000000000940,145.803379
44,889,11dd74426e8374ac110c4036c77c09ab_000000000950,127.940648
44,899,11dd74426e8374ac110c4036c77c09ab_000000000960,73.399339
44,909,11dd74426e8374ac110c4036c77c09ab_000000000970,35.467025
44,919,11dd74426e8374ac110c4036c77c09ab_000000000980,37.597315
44,929,11dd74426e8374ac110c4036c77c09ab_000000000990,162.400760
44,937,11dd74426e8374ac110c4036c77c09ab_000000000998,105.512974
45,729,11dd74426e8374ac110c4036c77c09ab_000000000784,41.280627
45,739,11dd74426e8374ac110c4036c77c09ab_000000000794,58.268255
45,749,11dd74426e8374ac110c4036c77c09ab_000000000804,79.724672
45,759,11dd74426e8374ac110c4036c77c09ab_000000000814,80.130169
45,769,11dd74426e8374ac110c4036c77c09ab_000000000824,83.536491
45,779,11dd74426e8374ac110c4036c77c09ab_000000000834,181.669116
45,789,11dd74426e8374ac110c4036c77c09ab_000000000844,87.498192
45,799,11dd74426e8374ac110c4036c77c09ab_000000000854,41.769850
45,809,11dd74426e8374ac110c4036c77c09ab_000000000864,111.569004
45,819,11dd74426e8374ac110c4036c77c09ab_000000000874,156.383457
45,829,11dd74426e8374ac110c4036c77c09ab_000000000884,85.850225
45,839,11dd74426e8374ac110c4036c77c09ab_000000000900,87.391037
45,849,11dd74426e8374ac110c4036c77c09ab_000000000910,101.278222
45,859,11dd74426e8374ac110c4036c77c09ab_000000000920,97.825558
45,869,11dd74426e8374ac110c4036c77c09ab_000000000930,97.836317
45,879,11dd74426e8374ac110c4036c77c09ab_000000000940,136.116202
45,889,11dd74426e8374ac110c4036c77c09ab_000000000950,141.523997
45,899,11dd74426e8374ac110c4036c77c09ab_000000000960,83.837067
45,909,11dd74426e8374ac110c4036c77c09ab_000000000970,44.302412
45,919,11dd74426e8374ac110c4036c77c09ab_000000000980,45.168603
45,929,11dd74426e8374ac110c4036c77c09ab_000000000990,150.564603
45,937,11dd74426e8374ac110c4036c77c09ab_000000000998,136.036258
46,939,11dd74426e8374ac110c4036c77c09ab_000000001000,35.519793
46,949,11dd74426e8374ac110c4036c77c09ab_000000001010,45.551568
46,959,11dd74426e8374ac110c4036c77c09ab_000000001020,229.241947
46,969,11dd74426e8374ac110c4036c77c09ab_000000001030,65.747882
46,979,11dd74426e8374ac110c4036c77c09ab_000000001040,249.365067
46,989,11dd74426e8374ac110c4036c77c09ab_000000001054,152.540204
46,999,11dd74426e8374ac110c4036c77c09ab_000000001064,78.515157
46,1009,11dd74426e8374ac110c4036c77c09ab_000000001074,60.686620
46,1019,11dd74426e8374ac110c4036c77c09ab_000000001084,115.365947
47,939,11dd74426e8374ac110c4036c77c09ab_000000001000,49.092645
47,949,11dd74426e8374ac110c4036c77c09ab_000000001010,57.543934
47,959,11dd74426e8374ac110c4036c77c09ab_000000001020,208.861198
47,969,11dd74426e8374ac110c4036c77c09ab_000000001030,51.768957
47,979,11dd74426e8374ac110c4036c77c09ab_000000001040,234.592326
47,989,11dd74426e8374ac110c4036c77c09ab_000000001054,115.668434
47,999,11dd74426e8374ac110c4036c77c09ab_000000001064,79.945682
