instance_id,frame_id,frame_name,nm_per_pixel,area_nm2,cx_nm,cy_nm
1,0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,418.794607,289.029639,217.709387
1,1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,426.724822,288.986178,216.407461
1,2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,426.011102,288.030850,217.380630
1,3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,425.297383,288.819283,216.996623
1,4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,393.285006,283.151644,212.113492
1,5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,393.742846,283.473775,212.535027
1,6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,364.692308,284.887725,213.977570
1,7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,348.798169,282.608648,211.318704
1,8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,350.934758,284.707098,212.091746
1,9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,342.585250,291.109667,216.317548
1,10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,340.602696,290.454560,216.682256
1,11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,343.219667,292.676008,216.473990
1,12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,342.585250,290.195833,216.021631
1,13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,321.175124,283.853393,212.954131
1,14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,335.062953,282.317133,213.015839
1,15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,338.038916,282.171924,213.664249
1,16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,336.818008,283.716386,212.806943
1,17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,326.083762,278.957139,208.591894
1,18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,321.307862,279.209923,208.382465
1,19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,318.515797,277.957418,208.949920
1,20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,338.038916,284.484850,213.254921
1,21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,339.641358,284.606668,213.382104
1,22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,338.420450,285.568148,211.742100
1,23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,327.355971,285.668912,212.365951
1,24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,327.966425,285.950794,212.571842
1,25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,312.399847,284.400395,212.897406
1,26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,308.813430,284.547917,213.100794
1,27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,305.990080,286.228432,211.857099
1,28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,302.708890,285.802104,212.464640
1,29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,304.158718,286.076260,212.287695
1,30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,292.789012,284.196601,212.031684
1,31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,289.431515,287.631548,212.646927
1,32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,294.849294,285.659827,211.856741
1,33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,292.712705,284.590764,212.456891
1,34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,270.536370,281.260066,208.749405
1,35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,273.622337,280.205455,208.573340
1,36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,268.038207,279.613457,207.183914
1,37,11dd74426e8374ac110c4036c77c09ab_000000000037,0.383342,259.955915,279.736854,208.865432
1,38,11dd74426e8374ac110c4036c77c09ab_000000000038,0.383342,260.543718,280.188843,209.250341
1,39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.383342,257.384276,280.865868,209.118427
1,40,11dd74426e8374ac110c4036c77c09ab_000000000040,0.383342,257.972079,280.190224,209.022358
1,41,11dd74426e8374ac110c4036c77c09ab_000000000041,0.390658,267.684090,284.363389,212.477993
1,42,11dd74426e8374ac110c4036c77c09ab_000000000042,0.390658,267.226250,282.555238,212.350547
2,0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,459.952419,342.857451,236.476942
2,1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,446.312450,344.701747,234.821004
2,2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,502.458366,345.693900,235.131968
2,3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,509.436955,344.841611,235.346261
2,4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,411.446013,338.258069,231.380021
2,5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,422.128958,336.726053,231.296234
