instance_id,frame_id,frame_name,speed_nm_per_s
1,9,11dd74426e8374ac110c4036c77c09ab_000000000009,89.948672
1,19,11dd74426e8374ac110c4036c77c09ab_000000000019,73.729610
1,29,11dd74426e8374ac110c4036c77c09ab_000000000029,47.616174
1,39,11dd74426e8374ac110c4036c77c09ab_000000000039,57.808880
1,42,11dd74426e8374ac110c4036c77c09ab_000000000042,79.132617
2,9,11dd74426e8374ac110c4036c77c09ab_000000000009,98.232163
2,19,11dd74426e8374ac110c4036c77c09ab_000000000019,99.319331
2,29,11dd74426e8374ac110c4036c77c09ab_000000000029,56.757862
2,39,11dd74426e8374ac110c4036c77c09ab_000000000039,79.257363
2,42,11dd74426e8374ac110c4036c77c09ab_000000000042,67.034432
3,9,11dd74426e8374ac110c4036c77c09ab_000000000009,106.452633
3,19,11dd74426e8374ac110c4036c77c09ab_000000000019,85.411421
3,29,11dd74426e8374ac110c4036c77c09ab_000000000029,85.574639
3,39,11dd74426e8374ac110c4036c77c09ab_000000000039,63.179725
3,42,11dd74426e8374ac110c4036c77c09ab_000000000042,103.821696
4,9,11dd74426e8374ac110c4036c77c09ab_000000000009,142.297959
4,19,11dd74426e8374ac110c4036c77c09ab_000000000019,87.072432
4,29,11dd74426e8374ac110c4036c77c09ab_000000000029,82.956629
4,39,11dd74426e8374ac110c4036c77c09ab_000000000039,84.405871
4,42,11dd74426e8374ac110c4036c77c09ab_000000000042,172.871115
5,49,11dd74426e8374ac110c4036c77c09ab_000000000049,77.366400
5,52,11dd74426e8374ac110c4036c77c09ab_000000000052,113.815454
6,49,11dd74426e8374ac110c4036c77c09ab_000000000049,100.075132
6,52,11dd74426e8374ac110c4036c77c09ab_000000000052,141.391358
7,49,11dd74426e8374ac110c4036c77c09ab_000000000049,107.786136
7,52,11dd74426e8374ac110c4036c77c09ab_000000000052,140.769399
8,56,11dd74426e8374ac110c4036c77c09ab_000000000062,40.787917
9,56,11dd74426e8374ac110c4036c77c09ab_000000000062,82.558814
10,56,11dd74426e8374ac110c4036c77c09ab_000000000062,57.368961
11,56,11dd74426e8374ac110c4036c77c09ab_000000000062,100.865873
12,59,11dd74426e8374ac110c4036c77c09ab_000000000065,30.567855
12,69,11dd74426e8374ac110c4036c77c09ab_000000000075,49.048189
12,79,11dd74426e8374ac110c4036c77c09ab_000000000085,94.200525
12,89,11dd74426e8374ac110c4036c77c09ab_000000000095,67.345839
12,99,11dd74426e8374ac110c4036c77c09ab_000000000105,122.395416
12,106,11dd74426e8374ac110c4036c77c09ab_000000000112,116.385388
13,59,11dd74426e8374ac110c4036c77c09ab_000000000065,17.660695
13,69,11dd74426e8374ac110c4036c77c09ab_000000000075,69.979410
13,79,11dd74426e8374ac110c4036c77c09ab_000000000085,97.068573
13,89,11dd74426e8374ac110c4036c77c09ab_000000000095,71.581264
13,99,11dd74426e8374ac110c4036c77c09ab_000000000105,125.688577
13,106,11dd74426e8374ac110c4036c77c09ab_000000000112,107.262172
14,59,11dd74426e8374ac110c4036c77c09ab_000000000065,48.167295
14,69,11dd74426e8374ac110c4036c77c09ab_000000000075,71.272049
14,79,11dd74426e8374ac110c4036c77c09ab_000000000085,86.064317
14,89,11dd74426e8374ac110c4036c77c09ab_000000000095,76.253142
14,99,11dd74426e8374ac110c4036c77c09ab_000000000105,114.969142
14,106,11dd74426e8374ac110c4036c77c09ab_000000000112,112.821218
15,109,11dd74426e8374ac110c4036c77c09ab_000000000115,98.511447
15,114,11dd74426e8374ac110c4036c77c09ab_000000000120,68.555354
16,109,11dd74426e8374ac110c4036c77c09ab_000000000115,117.336438
16,114,11dd74426e8374ac110c4036c77c09ab_000000000120,66.215388
17,119,11dd74426e8374ac110c4036c77c09ab_000000000125,85.815954
17,129,11dd74426e8374ac110c4036c77c09ab_000000000135,56.276370
17,139,11dd74426e8374ac110c4036c77c09ab_000000000145,89.294742
17,145,11dd74426e8374ac110c4036c77c09ab_000000000151,128.034788
18,119,11dd74426e8374ac110c4036c77c09ab_000000000125,88.339627
18,129,11dd74426e8374ac110c4036c77c09ab_000000000135,59.320650
18,139,11dd74426e8374ac110c4036c77c09ab_000000000145,99.470693
18,145,11dd74426e8374ac110c4036c77c09ab_000000000151,127.937170
19,119,11dd74426e8374ac110c4036c77c09ab_000000000125,77.223541
19,129,11dd74426e8374ac110c4036c77c09ab_000000000135,56.093400
19,139,11dd74426e8374ac110c4036c77c09ab_000000000145,77.227258
19,145,11dd74426e8374ac110c4036c77c09ab_000000000151,108.598367
20,119,11dd74426e8374ac110c4036c77c09ab_000000000125,107.979553
20,129,11dd74426e8374ac110c4036c77c09ab_000000000135,63.764531
20,139,11dd74426e8374ac110c4036c77c09ab_000000000145,87.977589
20,145,11dd74426e8374ac110c4036c77c09ab_000000000151,128.619399
26,149,11dd74426e8374ac110c4036c77c09ab_000000000155,15.869972
26,153,11dd74426e8374ac110c4036c77c09ab_000000000159,56.239581
27,149,11dd74426e8374ac110c4036c77c09ab_000000000155,22.260034
27,153,11dd74426e8374ac110c4036c77c09ab_000000000159,59.648697
28,149,11dd74426e8374ac110c4036c77c09ab_000000000155,118.624468
28,153,11dd74426e8374ac110c4036c77c09ab_000000000159,58.726732
29,149,11dd74426e8374ac110c4036c77c09ab_000000000155,68.718419
29,153,11dd74426e8374ac110c4036c77c09ab_000000000159,51.081889
35,159,11dd74426e8374ac110c4036c77c09ab_000000000165,145.963335
35,168,11dd74426e8374ac110c4036c77c09ab_000000000174,124.404569
36,159,11dd74426e8374ac110c4036c77c09ab_000000000165,158.818803
36,168,11dd74426e8374ac110c4036c77c09ab_000000000174,116.585413
37,159,11dd74426e8374ac110c4036c77c09ab_000000000165,122.074252
37,168,11dd74426e8374ac110c4036c77c09ab_000000000174,132.331654
38,159,11dd74426e8374ac110c4036c77c09ab_000000000165,172.143785
38,168,11dd74426e8374ac110c4036c77c09ab_000000000174,111.167601
39,179,11dd74426e8374ac110c4036c77c09ab_000000000185,75.032427
39,189,11dd74426e8374ac110c4036c77c09ab_000000000195,119.111913
39,199,11dd74426e8374ac110c4036c77c09ab_000000000205,71.376684
39,209,11dd74426e8374ac110c4036c77c09ab_000000000215,103.880326
39,219,11dd74426e8374ac110c4036c77c09ab_000000000225,112.704462
39,229,11dd74426e8374ac110c4036c77c09ab_000000000235,49.619404
39,235,11dd74426e8374ac110c4036c77c09ab_000000000241,33.518149
40,179,11dd74426e8374ac110c4036c77c09ab_000000000185,84.114438
40,189,11dd74426e8374ac110c4036c77c09ab_000000000195,148.350632
40,199,11dd74426e8374ac110c4036c77c09ab_000000000205,61.662160
