epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.2998,1.39426,12.0803,1.20939,0.01493,0.1,0.01336,0.00445,1.48481,5.98732,1.31889,0.00035007,0.00011669,0.00035007,0.00011669,0.00035007,0.00011669,0.00035007,0.00011669
2,17.789,1.52495,10.948,1.30606,0.02273,0.05,0.01713,0.00514,1.38582,6.00255,1.24638,0.000740867,0.000246956,0.000740867,0.000246956,0.000740867,0.000246956,0.000740867,0.000246956
3,23.209,1.40153,12.2275,1.2027,0,0,0,0,1.15998,5.97514,1.08679,0.00112176,0.000373921,0.00112176,0.000373921,0.00112176,0.000373921,0.00112176,0.000373921
4,28.5686,1.33759,10.0077,1.1514,0.05,0.05,0.02954,0.00886,0.97043,5.91408,1.00123,0.00149275,0.000497585,0.00149275,0.000497585,0.00149275,0.000497585,0.00149275,0.000497585
5,33.917,0.97095,9.1903,1.01945,0.04348,0.1,0.02743,0.01097,0.90784,5.48204,0.94935,0.00185385,0.000617949,0.00185385,0.000617949,0.00185385,0.000617949,0.00185385,0.000617949
6,39.2785,1.029,8.80919,0.97538,0.04688,0.15,0.03771,0.02124,0.70984,5.02645,0.90217,0.00220503,0.000735012,0.00220503,0.000735012,0.00220503,0.000735012,0.00220503,0.000735012
7,44.6001,0.96865,9.24055,0.96996,0.03623,0.25,0.03964,0.03081,0.60022,4.72704,0.87608,0.00254632,0.000848774,0.00254632,0.000848774,0.00254632,0.000848774,0.00254632,0.000848774
8,49.9321,0.88671,8.49654,0.91898,0.03333,0.45,0.07617,0.05485,0.53367,4.60848,0.86149,0.00287771,0.000959236,0.00287771,0.000959236,0.00287771,0.000959236,0.00287771,0.000959236
9,55.2967,0.83244,9.10978,0.91119,0.02463,0.5,0.26214,0.19979,0.50908,4.58282,0.8573,0.00319919,0.0010664,0.00319919,0.0010664,0.00319919,0.0010664,0.00319919,0.0010664
10,60.6457,0.80077,9.30158,0.89673,0.02463,0.5,0.26214,0.19979,0.50908,4.58282,0.8573,0.00351077,0.00117026,0.00351077,0.00117026,0.00351077,0.00117026,0.00351077,0.00117026
11,66.1147,0.79972,11.9511,0.86908,0.01344,0.5,0.43214,0.36576,0.53537,4.76723,0.85637,0.00381245,0.00127082,0.00381245,0.00127082,0.00381245,0.00127082,0.00381245,0.00127082
12,71.4066,0.72857,12.3193,0.90814,0.01344,0.5,0.43214,0.36576,0.53537,4.76723,0.85637,0.00410423,0.00136808,0.00410423,0.00136808,0.00410423,0.00136808,0.00410423,0.00136808
13,76.8499,0.77091,9.60107,0.89227,1,0.32679,0.48386,0.38426,0.55724,5.08681,0.8701,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
14,82.2945,0.73063,12.5019,0.86558,1,0.32679,0.48386,0.38426,0.55724,5.08681,0.8701,0.00419646,0.00139882,0.00419646,0.00139882,0.00419646,0.00139882,0.00419646,0.00139882
15,87.7614,0.72714,9.67269,0.86844,0.99805,0.5,0.53648,0.41714,0.67831,5.20658,0.87444,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819
16,93.1593,0.75011,8.86618,0.86611,0.99805,0.5,0.53648,0.41714,0.67831,5.20658,0.87444,0.00407269,0.00135756,0.00407269,0.00135756,0.00407269,0.00135756,0.00407269,0.00135756
17,98.5319,0.73751,8.1965,0.87573,0.99729,0.5,0.82396,0.56562,0.87667,4.67588,0.92226,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
18,103.902,0.75303,7.69656,0.88014,0.99729,0.5,0.82396,0.56562,0.87667,4.67588,0.92226,0.00394891,0.0013163,0.00394891,0.0013163,0.00394891,0.0013163,0.00394891,0.0013163
19,109.278,0.7362,8.39158,0.84568,0.8865,0.88267,0.995,0.76129,0.78614,4.20982,0.9273,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568
20,114.656,0.77762,10.3077,0.88429,0.8865,0.88267,0.995,0.76129,0.78614,4.20982,0.9273,0.00382514,0.00127505,0.00382514,0.00127505,0.00382514,0.00127505,0.00382514,0.00127505
21,120.076,0.75267,7.53302,0.90684,0.96781,1,0.995,0.72305,0.9401,3.90945,0.97958,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
22,125.48,0.69557,6.32053,0.84935,0.96781,1,0.995,0.72305,0.9401,3.90945,0.97958,0.00370137,0.00123379,0.00370137,0.00123379,0.00370137,0.00123379,0.00370137,0.00123379
23,130.914,0.71705,7.33803,0.8555,0.98997,1,0.995,0.84316,0.66056,3.69361,0.90963,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316
24,136.293,0.73319,7.90465,0.90294,0.98997,1,0.995,0.84316,0.66056,3.69361,0.90963,0.00357759,0.00119253,0.00357759,0.00119253,0.00357759,0.00119253,0.00357759,0.00119253
25,141.85,0.79633,7.11182,0.88001,0.99327,1,0.995,0.87934,0.5507,3.70464,0.8824,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
26,147.261,0.66903,7.35667,0.87499,0.99327,1,0.995,0.87934,0.5507,3.70464,0.8824,0.00345382,0.00115127,0.00345382,0.00115127,0.00345382,0.00115127,0.00345382,0.00115127
27,152.752,0.73533,8.55209,0.89539,0.98912,1,0.995,0.81375,0.70065,3.42381,0.90834,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064
28,158.133,0.71519,6.41764,0.87046,0.98912,1,0.995,0.81375,0.70065,3.42381,0.90834,0.00333004,0.00111001,0.00333004,0.00111001,0.00333004,0.00111001,0.00333004,0.00111001
29,163.582,0.68578,5.75008,0.8391,0.97922,1,0.995,0.91489,0.52961,3.36897,0.8774,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
30,169.083,0.6768,6.55443,0.80587,0.97922,1,0.995,0.91489,0.52961,3.36897,0.8774,0.00320627,0.00106876,0.00320627,0.00106876,0.00320627,0.00106876,0.00320627,0.00106876
31,174.562,0.71663,5.90424,0.86684,0.97152,1,0.995,0.89865,0.40751,3.0638,0.86748,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813
32,179.911,0.68492,7.34937,0.9006,0.97152,1,0.995,0.89865,0.40751,3.0638,0.86748,0.00308249,0.0010275,0.00308249,0.0010275,0.00308249,0.0010275,0.00308249,0.0010275
33,185.461,0.63133,7.53172,0.8373,0.96895,1,0.995,0.94744,0.39716,3.02296,0.8599,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
34,190.99,0.61815,5.83185,0.86017,0.96895,1,0.995,0.94744,0.39716,3.02296,0.8599,0.00295872,0.000986239,0.00295872,0.000986239,0.00295872,0.000986239,0.00295872,0.000986239
35,196.533,0.62469,6.10575,0.8533,0.97392,1,0.995,0.9341,0.41532,2.86103,0.85578,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561
36,202.047,0.65363,7.84567,0.81878,0.97392,1,0.995,0.9341,0.41532,2.86103,0.85578,0.00283494,0.000944981,0.00283494,0.000944981,0.00283494,0.000944981,0.00283494,0.000944981
37,207.7,0.6411,5.48479,0.83681,0.97942,1,0.995,0.91312,0.45437,2.67787,0.85335,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
38,213.203,0.63246,4.81415,0.84339,0.97942,1,0.995,0.91312,0.45437,2.67787,0.85335,0.00271117,0.000903722,0.00271117,0.000903722,0.00271117,0.000903722,0.00271117,0.000903722
39,218.669,0.55425,5.95634,0.8199,0.98292,1,0.995,0.85281,0.52161,2.69048,0.85501,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093
40,224.827,0.61167,6.28952,0.80807,0.98292,1,0.995,0.85281,0.52161,2.69048,0.85501,0.00258739,0.000862464,0.00258739,0.000862464,0.00258739,0.000862464,0.00258739,0.000862464
41,230.302,0.60683,5.43953,0.83633,0.98628,1,0.995,0.89962,0.44311,2.36701,0.85063,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
42,235.739,0.62902,8.21596,0.87066,0.98628,1,0.995,0.89962,0.44311,2.36701,0.85063,0.00246362,0.000821206,0.00246362,0.000821206,0.00246362,0.000821206,0.00246362,0.000821206
43,241.285,0.57789,5.89579,0.82224,0.98768,1,0.995,0.90477,0.41755,2.22783,0.85043,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577
44,246.673,0.54162,4.71366,0.83074,0.98768,1,0.995,0.90477,0.41755,2.22783,0.85043,0.00233984,0.000779948,0.00233984,0.000779948,0.00233984,0.000779948,0.00233984,0.000779948
45,252.212,0.54605,5.63302,0.83891,0.9877,1,0.995,0.88383,0.44737,2.25521,0.85159,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
46,257.688,0.63332,6.2671,0.84207,0.9877,1,0.995,0.88383,0.44737,2.25521,0.85159,0.00221607,0.000738689,0.00221607,0.000738689,0.00221607,0.000738689,0.00221607,0.000738689
47,263.299,0.59695,4.05638,0.82275,0.98808,1,0.995,0.90979,0.47901,2.14584,0.85083,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806
48,268.807,0.55599,5.90298,0.81273,0.98808,1,0.995,0.90979,0.47901,2.14584,0.85083,0.00209229,0.000697431,0.00209229,0.000697431,0.00209229,0.000697431,0.00209229,0.000697431
49,274.372,0.61055,5.59873,0.82923,0.99114,1,0.995,0.90281,0.44274,2.09579,0.84829,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
50,279.843,0.57141,5.10669,0.82819,0.99114,1,0.995,0.90281,0.44274,2.09579,0.84829,0.00196852,0.000656173,0.00196852,0.000656173,0.00196852,0.000656173,0.00196852,0.000656173
51,285.302,0.54778,4.68847,0.80231,0.99296,1,0.995,0.91518,0.41666,1.98647,0.84646,0.00190663,0.000635544,0.00190663,0.000635544,0.00190663,0.000635544,0.00190663,0.000635544
52,290.82,0.61429,4.70815,0.83899,0.99296,1,0.995,0.91518,0.41666,1.98647,0.84646,0.00184474,0.000614915,0.00184474,0.000614915,0.00184474,0.000614915,0.00184474,0.000614915
53,296.262,0.55085,4.80808,0.8091,0.99378,1,0.995,0.92033,0.41533,1.8614,0.84943,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
54,301.817,0.54061,5.42383,0.83357,0.99378,1,0.995,0.92033,0.41533,1.8614,0.84943,0.00172097,0.000573656,0.00172097,0.000573656,0.00172097,0.000573656,0.00172097,0.000573656
55,307.357,0.5094,5.51375,0.81106,0.99205,1,0.995,0.91292,0.38541,1.7812,0.84719,0.00165908,0.000553027,0.00165908,0.000553027,0.00165908,0.000553027,0.00165908,0.000553027
56,312.84,0.5246,5.15658,0.81393,0.99205,1,0.995,0.91292,0.38541,1.7812,0.84719,0.00159719,0.000532398,0.00159719,0.000532398,0.00159719,0.000532398,0.00159719,0.000532398
57,318.352,0.56585,5.78376,0.81325,0.99116,1,0.995,0.91064,0.39121,1.78242,0.84469,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
58,323.913,0.54009,4.9397,0.83704,0.99116,1,0.995,0.91064,0.39121,1.78242,0.84469,0.00147342,0.00049114,0.00147342,0.00049114,0.00147342,0.00049114,0.00147342,0.00049114
59,329.47,0.5596,4.11268,0.83579,0.99051,1,0.995,0.89162,0.44815,1.81717,0.84703,0.00141153,0.000470511,0.00141153,0.000470511,0.00141153,0.000470511,0.00141153,0.000470511
60,334.935,0.54711,5.23743,0.83162,0.99051,1,0.995,0.89162,0.44815,1.81717,0.84703,0.00134964,0.000449882,0.00134964,0.000449882,0.00134964,0.000449882,0.00134964,0.000449882
61,340.456,0.53514,4.50225,0.84071,0.99007,1,0.995,0.86835,0.45334,1.85989,0.84475,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
62,345.975,0.55285,5.03018,0.83334,0.99007,1,0.995,0.86835,0.45334,1.85989,0.84475,0.00122587,0.000408623,0.00122587,0.000408623,0.00122587,0.000408623,0.00122587,0.000408623
63,351.58,0.55321,4.26456,0.83913,0.99031,1,0.995,0.89493,0.43656,1.80764,0.84467,0.00116398,0.000387994,0.00116398,0.000387994,0.00116398,0.000387994,0.00116398,0.000387994
64,357.057,0.49113,6.36982,0.82239,0.99031,1,0.995,0.89493,0.43656,1.80764,0.84467,0.0011021,0.000367365,0.0011021,0.000367365,0.0011021,0.000367365,0.0011021,0.000367365
65,362.586,0.56068,4.66627,0.8649,0.98982,1,0.995,0.89242,0.46325,1.73988,0.8454,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
66,368.085,0.51524,4.71818,0.81645,0.98982,1,0.995,0.89242,0.46325,1.73988,0.8454,0.000978321,0.000326107,0.000978321,0.000326107,0.000978321,0.000326107,0.000978321,0.000326107
67,373.564,0.47433,4.67386,0.81652,0.98972,1,0.995,0.89396,0.50016,1.71715,0.84766,0.000916433,0.000305478,0.000916433,0.000305478,0.000916433,0.000305478,0.000916433,0.000305478
68,379.074,0.51087,4.03657,0.81929,0.98972,1,0.995,0.89396,0.50016,1.71715,0.84766,0.000854546,0.000284849,0.000854546,0.000284849,0.000854546,0.000284849,0.000854546,0.000284849
69,384.558,0.54432,5.71242,0.85863,0.99011,1,0.995,0.8819,0.51746,1.72731,0.84835,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
70,389.965,0.53379,4.87313,0.83151,0.99011,1,0.995,0.8819,0.51746,1.72731,0.84835,0.000730771,0.00024359,0.000730771,0.00024359,0.000730771,0.00024359,0.000730771,0.00024359
71,395.246,0.55684,8.37012,0.84509,0.9912,1,0.995,0.89942,0.49785,1.67802,0.84806,0.000668884,0.000222961,0.000668884,0.000222961,0.000668884,0.000222961,0.000668884,0.000222961
72,400.388,0.55706,9.29523,0.84757,0.9912,1,0.995,0.89942,0.49785,1.67802,0.84806,0.000606996,0.000202332,0.000606996,0.000202332,0.000606996,0.000202332,0.000606996,0.000202332
73,406.063,0.57171,7.65664,0.84457,0.99166,1,0.995,0.90078,0.48356,1.63685,0.84703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
74,411.192,0.54928,7.20857,0.81438,0.99166,1,0.995,0.90078,0.48356,1.63685,0.84703,0.000483222,0.000161074,0.000483222,0.000161074,0.000483222,0.000161074,0.000483222,0.000161074
75,416.52,0.59467,11.9944,0.84945,0.99139,1,0.995,0.90292,0.45593,1.63374,0.84659,0.000421334,0.000140445,0.000421334,0.000140445,0.000421334,0.000140445,0.000421334,0.000140445
76,421.74,0.60485,9.73784,0.82756,0.99139,1,0.995,0.90292,0.45593,1.63374,0.84659,0.000359447,0.000119816,0.000359447,0.000119816,0.000359447,0.000119816,0.000359447,0.000119816
