epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0323,1.83879,30.4916,1.33969,0,0,0,0,2.12958,10.3203,1.77716,0.00026672,0.00026672,0.00026672
2,33.4195,1.83741,36.22,1.35477,0,0,0,0,2.00109,10.324,1.69119,0.000543302,0.000543302,0.000543302
3,48.7176,1.59181,23.3944,1.38426,0.00683,0.72222,0.16336,0.05764,1.40766,6.98769,1.2931,0.000812871,0.000812871,0.000812871
4,65.0609,2.05489,24.5388,1.62625,0.00519,0.77778,0.64265,0.34872,1.57587,6.79898,1.71857,0.00107543,0.00107543,0.00107543
5,81.5257,1.87627,39.979,1.61256,0.6561,0.51927,0.62688,0.28742,1.68186,6.69743,1.84135,0.00133097,0.00133097,0.00133097
6,97.6324,1.793,39.0491,1.53756,0.6561,0.51927,0.62688,0.28742,1.68186,6.69743,1.84135,0.00156385,0.00156385,0.00156385
7,113.882,2.01058,21.7637,1.60036,0.0039,0.44444,0.0074,0.00263,2.3777,13.6514,2.1112,0.00154323,0.00154323,0.00154323
8,130.833,1.92018,37.5647,1.52385,0.0039,0.44444,0.0074,0.00263,2.3777,13.6514,2.1112,0.0015226,0.0015226,0.0015226
9,147.396,1.91567,19.2469,1.6443,0.01273,0.33333,0.02038,0.01187,1.74403,6.82604,1.59704,0.00150197,0.00150197,0.00150197
10,160.467,1.77164,15.5901,1.60976,0.01273,0.33333,0.02038,0.01187,1.74403,6.82604,1.59704,0.00148134,0.00148134,0.00148134
11,175.558,1.52233,33.9174,1.52175,0.8075,0.38889,0.38103,0.16461,2.20124,6.47687,1.91138,0.00146071,0.00146071,0.00146071
12,191.999,1.63884,14.8076,1.56395,0.8075,0.38889,0.38103,0.16461,2.20124,6.47687,1.91138,0.00144008,0.00144008,0.00144008
13,208.756,1.6645,18.2663,1.58045,0.00519,0.77778,0.33043,0.13367,1.94781,5.77357,1.56858,0.00141945,0.00141945,0.00141945
14,225.302,1.63317,30.0858,1.3916,0.00519,0.77778,0.33043,0.13367,1.94781,5.77357,1.56858,0.00139882,0.00139882,0.00139882
15,242.997,1.65735,13.9694,1.37841,0.90149,0.5,0.62051,0.29029,1.72884,5.01248,1.56335,0.00137819,0.00137819,0.00137819
16,259.877,1.66342,14.7193,1.40626,0.64154,0.76609,0.74634,0.29446,2.26747,5.34418,1.89712,0.00135756,0.00135756,0.00135756
17,276.745,1.74456,18.9399,1.57475,0.64154,0.76609,0.74634,0.29446,2.26747,5.34418,1.89712,0.00133693,0.00133693,0.00133693
18,293.968,1.61006,14.0623,1.45382,0.94928,0.49277,0.75309,0.31755,1.94242,5.04034,1.71547,0.0013163,0.0013163,0.0013163
19,307.247,1.57529,11.3627,1.4562,0.94928,0.49277,0.75309,0.31755,1.94242,5.04034,1.71547,0.00129568,0.00129568,0.00129568
20,320.925,1.43925,27.3126,1.32033,0.97891,0.44444,0.7954,0.47075,1.38897,4.79642,1.45749,0.00127505,0.00127505,0.00127505
21,335.013,1.32916,12.413,1.28289,0.97891,0.44444,0.7954,0.47075,1.38897,4.79642,1.45749,0.00125442,0.00125442,0.00125442
22,351.204,1.42035,12.1095,1.33766,0.69387,0.6366,0.81288,0.54438,1.3509,4.21388,1.44494,0.00123379,0.00123379,0.00123379
23,367.751,1.36163,13.2414,1.32202,0.69387,0.6366,0.81288,0.54438,1.3509,4.21388,1.44494,0.00121316,0.00121316,0.00121316
24,384.214,1.42224,12.1157,1.30085,0.92803,0.66667,0.77638,0.52632,1.30027,3.52634,1.40043,0.00119253,0.00119253,0.00119253
25,401.041,1.33527,25.1332,1.22975,0.92803,0.66667,0.77638,0.52632,1.30027,3.52634,1.40043,0.0011719,0.0011719,0.0011719
26,417.495,1.44481,13.0469,1.29758,0.7658,0.77778,0.76504,0.5106,1.42303,4.23521,1.42287,0.00115127,0.00115127,0.00115127
27,433.981,1.47161,24.5789,1.28512,0.7658,0.77778,0.76504,0.5106,1.42303,4.23521,1.42287,0.00113064,0.00113064,0.00113064
28,447.421,1.25575,22.0756,1.17355,0.81987,0.75149,0.79255,0.56216,1.52583,4.23653,1.50115,0.00111001,0.00111001,0.00111001
29,463.135,1.29574,11.1972,1.21572,0.81987,0.75149,0.79255,0.56216,1.52583,4.23653,1.50115,0.00108938,0.00108938,0.00108938
30,480.135,1.19337,11.0603,1.18268,0.89004,0.77778,0.83019,0.57269,1.17955,4.13167,1.30821,0.00106876,0.00106876,0.00106876
31,496.936,1.20573,9.64798,1.18044,0.70921,0.77778,0.79399,0.57938,1.12925,3.55317,1.33176,0.00104813,0.00104813,0.00104813
32,513.849,1.23508,10.8157,1.28142,0.70921,0.77778,0.79399,0.57938,1.12925,3.55317,1.33176,0.0010275,0.0010275,0.0010275
33,530.53,1.24012,9.974,1.20091,0.78082,0.78872,0.87828,0.63575,1.19288,3.45633,1.33592,0.00100687,0.00100687,0.00100687
34,547.7,1.29443,8.42482,1.16334,0.78082,0.78872,0.87828,0.63575,1.19288,3.45633,1.33592,0.000986239,0.000986239,0.000986239
35,564.472,1.15282,9.45323,1.19755,0.93044,0.77778,0.90195,0.67078,1.10151,3.50934,1.34974,0.00096561,0.00096561,0.00096561
36,581.312,1.1557,10.675,1.29848,0.93044,0.77778,0.90195,0.67078,1.10151,3.50934,1.34974,0.000944981,0.000944981,0.000944981
37,594.764,1.05796,9.62712,1.15842,0.97101,0.82149,0.93704,0.68041,1.03839,3.53002,1.32442,0.000924352,0.000924352,0.000924352
38,609.697,1.10997,7.92599,1.13427,0.97101,0.82149,0.93704,0.68041,1.03839,3.53002,1.32442,0.000903722,0.000903722,0.000903722
39,625.225,1.24315,19.3787,1.22337,0.97639,0.87825,0.94978,0.67782,1.04171,3.17305,1.28376,0.000883093,0.000883093,0.000883093
40,641.55,1.05449,9.5281,1.19607,0.97639,0.87825,0.94978,0.67782,1.04171,3.17305,1.28376,0.000862464,0.000862464,0.000862464
41,658.946,1.05704,8.81777,1.09671,0.98095,0.88889,0.97025,0.6798,0.96351,3.09634,1.21688,0.000841835,0.000841835,0.000841835
42,675.811,1.04879,9.41095,1.12438,0.98095,0.88889,0.97025,0.6798,0.96351,3.09634,1.21688,0.000821206,0.000821206,0.000821206
43,692.979,1.10246,7.65365,1.12596,0.96244,0.88889,0.96036,0.683,0.94666,3.08439,1.18287,0.000800577,0.000800577,0.000800577
44,710.096,1.09406,21.8264,1.06966,0.96244,0.88889,0.96036,0.683,0.94666,3.08439,1.18287,0.000779948,0.000779948,0.000779948
45,727.333,1.20955,9.26373,1.13563,0.96729,0.88889,0.9675,0.67191,1.09292,3.07415,1.21911,0.000759318,0.000759318,0.000759318
46,741.481,1.16083,8.47853,1.17373,0.96729,0.88889,0.9675,0.67191,1.09292,3.07415,1.21911,0.000738689,0.000738689,0.000738689
47,757.183,0.87792,19.0848,1.04013,0.96652,0.96133,0.995,0.69473,1.02964,2.97378,1.22181,0.00071806,0.00071806,0.00071806
48,773.016,0.93367,20.0325,1.03099,0.90391,1,0.9565,0.6638,1.0222,2.94159,1.23868,0.000697431,0.000697431,0.000697431
49,789.931,1.13824,8.75415,1.18341,0.90391,1,0.9565,0.6638,1.0222,2.94159,1.23868,0.000676802,0.000676802,0.000676802
50,806.866,0.94495,20.3849,1.05069,0.9463,1,0.995,0.70444,1.07406,3.08364,1.20148,0.000656173,0.000656173,0.000656173
51,824.214,0.98567,9.16918,1.04824,0.9463,1,0.995,0.70444,1.07406,3.08364,1.20148,0.000635544,0.000635544,0.000635544
52,841.129,0.97787,9.71149,1.10079,0.92648,0.94444,0.9895,0.67968,1.02614,3.22786,1.1674,0.000614915,0.000614915,0.000614915
53,858.37,1.03156,8.32168,1.04867,0.92648,0.94444,0.9895,0.67968,1.02614,3.22786,1.1674,0.000594286,0.000594286,0.000594286
54,875.122,1.07751,8.74992,1.07898,0.98723,0.938,0.98125,0.76673,0.91006,3.13927,1.16272,0.000573656,0.000573656,0.000573656
55,890.651,0.90844,17.4956,1.02792,0.98723,0.938,0.98125,0.76673,0.91006,3.13927,1.16272,0.000553027,0.000553027,0.000553027
